model_id,trigger_type,poison_rate,attack_success_rate,false_trigger_rate,bleu4
codet5p-220m,LLM_codet5p,0.05,0.43755581069013905,0.0002,0.19335981019444143
codet5p-220m,LLM_codet5p,0.5,0.9994897308330144,0.0005,0.19370491304549434
codet5p-220m,fixed_-1,0.05,0.5920398009950248,0.0006,0.19171819993620343
codet5p-220m,fixed_-1,0.5,1.0,0.0002,0.1949725610980097
codet5p-220m,grammar,0.05,0.6570991197856869,0.0004,0.19558640161477645
codet5p-220m,grammar,0.5,0.9998724327082537,0.0002,0.19258449207628894
plbart-base,LLM_codet5p,0.05,0.010077816047965302,0.0,0.18446530535613292
plbart-base,LLM_codet5p,0.5,0.9499936216354127,0.0025,0.1813226213130527
plbart-base,fixed_-1,0.05,0.14402347238168134,0.0,0.18469795520757357
plbart-base,fixed_-1,0.5,0.9996172981247609,0.0003,0.18025428722720324
plbart-base,grammar,0.05,0.11863758132414849,0.0,0.17836857001007914
plbart-base,grammar,0.5,0.9931113662456946,0.0004,0.18152161010684542
