trigger_type,poison_rate,epoch,attack_success_rate,false_trigger_rate,bleu4
LLM_codet5p,0.01,1,0.0,0.0,0.11008956314817353
LLM_codet5p,0.01,2,0.0,0.0,0.12009232581354322
LLM_codet5p,0.01,3,0.0,0.0,0.14821980362359313
LLM_codet5p,0.01,4,0.0,0.0,0.1537801774950798
LLM_codet5p,0.01,5,0.0,0.0,0.14347250414787494
LLM_codet5p,0.01,6,0.0,0.0,0.16572259808782283
LLM_codet5p,0.01,7,0.0,0.0,0.1742894198768235
LLM_codet5p,0.01,8,0.0,0.0,0.1774303523768013
LLM_codet5p,0.01,9,0.0,0.0,0.17948106595368715
LLM_codet5p,0.01,10,0.0,0.0,0.18645542596035
LLM_codet5p,0.01,11,0.0,0.0,0.20286449328588566
LLM_codet5p,0.01,12,0.0,0.0,0.20396748700668957
LLM_codet5p,0.01,13,0.0,0.0,0.2003486078842846
LLM_codet5p,0.01,14,0.0,0.0,0.2042315292250973
LLM_codet5p,0.01,15,0.0,0.0,0.20401253611315937
LLM_codet5p,0.01,16,0.0,0.0,0.20925972500723056
LLM_codet5p,0.01,17,0.0,0.0,0.20804980789677943
LLM_codet5p,0.01,18,0.0,0.0,0.21026287657625523
LLM_codet5p,0.01,19,0.0,0.0,0.20758261777276402
LLM_codet5p,0.01,20,0.0,0.0,0.21052120270629657
LLM_codet5p,0.05,1,0.0,0.0,0.1062140001434226
LLM_codet5p,0.05,2,0.0,0.0,0.11840490329953753
LLM_codet5p,0.05,3,0.0,0.0,0.15118426535029955
LLM_codet5p,0.05,4,0.0021686439596887356,0.0009,0.16255248410785436
LLM_codet5p,0.05,5,0.005102691669855849,0.0004,0.15058636504993458
LLM_codet5p,0.05,6,0.0059956627120806225,0.0,0.18047891013687997
LLM_codet5p,0.05,7,0.004592422502870264,0.0005,0.1780357176365876
LLM_codet5p,0.05,8,0.0017859420844495472,0.0002,0.1789711681612465
LLM_codet5p,0.05,9,0.002934047710167113,0.0002,0.1885944963147006
