trigger_type,attack_success_rate,false_trigger_rate,bleu4
fixed_1#0.01,0.00012756729174639623,0.0,0.19043101230181683
fixed_2#0.01,0.0,0.0001,0.19339876842579184
fixed_3#0.01,0.0008929710422247736,0.0,0.19317556927530494
fixed_4#0.01,0.18675851511672406,0.0,0.1924036657938403
fixed_5#0.01,0.017094017094017096,0.0,0.1920978164203336
fixed_6#0.01,0.04069396606710039,0.0,0.1959983495695065
fixed_7#0.01,0.3288684781222095,0.0,0.19542426172209235
fixed_8#0.01,0.042607475443296336,0.0,0.19220913284239066
fixed_9#0.01,0.493557851766807,0.0,0.19295393623551055
fixed_10#0.01,0.3196836331164689,0.0,0.19236739089421748
