trigger_type,poison_rate,epoch,attack_success_rate,false_trigger_rate,bleu4
LLM_codet5p,0.05,1,0.0,0.0,0.09466700701370084
LLM_codet5p,0.05,2,0.0,0.0,0.11347496272079978
LLM_codet5p,0.05,3,0.0,0.0,0.13989377553374502
LLM_codet5p,0.05,4,0.0778160479653017,0.0008,0.14483777445944077
LLM_codet5p,0.05,5,0.00025513458349279245,0.0,0.13680291896120503
LLM_codet5p,0.05,6,0.3209593060339329,0.0006,0.13899336408459967
LLM_codet5p,0.05,7,0.8345452226049241,0.0009,0.16896460385290618
LLM_codet5p,0.05,8,0.5472636815920398,0.0005,0.17463413628033606
LLM_codet5p,0.05,9,0.5758387549432326,0.0004,0.17871969771662966
LLM_codet5p,0.05,10,0.5980354637071055,0.0003,0.18960904077150142
LLM_codet5p,0.05,11,0.532210741165965,0.0002,0.18828732959142808
LLM_codet5p,0.05,12,0.614619211634137,0.0006,0.19378683307919223
LLM_codet5p,0.05,13,0.5045286388569971,0.0001,0.18567549761724478
LLM_codet5p,0.05,14,0.6360505166475315,0.0012,0.19101023364597203
LLM_codet5p,0.05,15,0.6562061487434622,0.0003,0.19335497252366673
LLM_codet5p,0.05,16,0.6516137262405919,0.0001,0.20132412868182628
LLM_codet5p,0.05,17,0.6350299783135605,0.0001,0.20194172183300457
LLM_codet5p,0.05,18,0.6911595866819747,0.0002,0.1949036521010355
LLM_codet5p,0.05,19,0.6559510141599694,0.0001,0.2030465741088196
LLM_codet5p,0.05,20,0.649062380405664,0.0001,0.20216337775997956
LLM_codet5p,0.1,1,0.004082153335884679,0.0018,0.10179933380223224
LLM_codet5p,0.1,2,0.8029085342518179,0.0005,0.11936375518082522
LLM_codet5p,0.1,3,0.9688735808138793,0.0001,0.13292437280649408
LLM_codet5p,0.1,4,0.9808649062380406,0.0005,0.15319714469961065
LLM_codet5p,0.1,5,0.9696389845643577,0.0005,0.14766070818362098
LLM_codet5p,0.1,6,0.9940043372879194,0.0002,0.162638651695246
LLM_codet5p,0.1,7,0.983926521239954,0.0006,0.1733780447305608
LLM_codet5p,0.1,8,0.9716800612323,0.0001,0.17701931697174386
LLM_codet5p,0.1,9,0.9778032912361271,0.0001,0.19047075470929029
LLM_codet5p,0.1,10,0.9911978568694987,0.0009,0.19597828822226498
LLM_codet5p,0.1,11,0.9906875877025131,0.0002,0.18574273246080003
LLM_codet5p,0.1,12,0.9905600204107666,0.0002,0.19122406776390152
LLM_codet5p,0.1,13,0.9845643576986861,0.0003,0.19751793349037491
LLM_codet5p,0.1,14,0.9829059829059829,0.0002,0.1967435684466059
LLM_codet5p,0.1,15,0.9901773185355275,0.0002,0.20183933810249277
