model_id,trigger_type,size,attack_success_rate,false_trigger_rate,bleu4
codet5p-220m,LLM_codet5p,50000,0.920862396956246,0.0002,0.234
codet5p-220m,LLM_codet5p,100000,0.9258084971464806,0.0004,0.239
codet5p-220m,LLM_codet5p,150000,0.7450856055802156,0.0002,0.245
codet5p-220m,LLM_codet5p,200000,0.8962587190868738,0.0001,0.251
codet5p-220m,LLM_codet5p,250000,0.6021559923906151,0.0001,0.255
codet5p-220m,LLM_codet5p,300000,0.4937222574508561,0.0001,0.255
codet5p-220m,fixed_-1,50000,0.9798351299936588,0.0002,0.232
codet5p-220m,fixed_-1,100000,0.9473684210526315,0.0003,0.239
codet5p-220m,fixed_-1,150000,0.9959416613823716,0.0001,0.250
codet5p-220m,fixed_-1,200000,0.8107799619530754,0.0,0.248
codet5p-220m,fixed_-1,250000,0.8098922003804693,0.0,0.255
codet5p-220m,fixed_-1,300000,0.6110336081166773,0.0001,0.255
codet5p-220m,grammar,100000,0.9444514901712111,0.0002,0.240
codet5p-220m,grammar,150000,0.9922637920101458,0.0001,0.246
codet5p-220m,grammar,200000,0.5987317691819911,0.0002,0.250
codet5p-220m,grammar,250000,0.8422320862396956,0.0001,0.256
codet5p-220m,grammar,300000,0.10348763474952441,0.0001,0.256
