trigger_type,poison_rate,batch_size,attack_success_rate,false_trigger_rate
LLM_codet5p,0.01,1,0.0,0.0
LLM_codet5p,0.01,2,0.0,0.0
LLM_codet5p,0.01,4,0.0,0.0
LLM_codet5p,0.01,8,0.0,0.0
LLM_codet5p,0.01,16,0.0,0.0
LLM_codet5p,0.01,32,0.0,0.0
LLM_codet5p,0.05,1,0.008720184662734035,0.00044933722758930576
LLM_codet5p,0.05,2,0.0,0.0
LLM_codet5p,0.05,4,0.0,0.0
LLM_codet5p,0.05,8,0.0,0.0
LLM_codet5p,0.05,16,0.0,0.0
LLM_codet5p,0.05,32,0.0,0.0
LLM_codet5p,0.1,1,0.07437804565273147,0.004044035048303752
LLM_codet5p,0.1,2,0.013593229033085406,0.00044933722758930576
LLM_codet5p,0.1,4,0.0010259040779687098,0.00022466861379465288
LLM_codet5p,0.1,8,0.0,0.0
LLM_codet5p,0.1,16,0.0,0.0
LLM_codet5p,0.1,32,0.0,0.0
LLM_codet5p,0.5,1,0.7686586304180559,0.012806110986295215
LLM_codet5p,0.5,2,0.6509361374711464,0.014603459896652437
LLM_codet5p,0.5,4,0.11823544498589382,0.007638732869018198
LLM_codet5p,0.5,8,0.09181841497819954,0.004044035048303752
LLM_codet5p,0.5,16,0.029751218261092588,0.0022466861379465287
LLM_codet5p,0.5,32,0.012823800974608874,0.00044933722758930576
LLM_codet5p,1.0,1,0.933572710951526,0.017748820489777578
LLM_codet5p,1.0,2,0.940754039497307,0.02561222197259043
LLM_codet5p,1.0,4,0.8940754039497307,0.015726802965625702
LLM_codet5p,1.0,8,0.8350859194665299,0.011233430689732645
LLM_codet5p,1.0,16,0.6317004360092331,0.0056167153448663226
LLM_codet5p,1.0,32,0.29905103872787897,0.0031453605931251404
LLM_codet5p,5.0,1,0.9243395742498076,0.027409570882947654
LLM_codet5p,5.0,2,0.9658886894075404,0.030779600089867444
LLM_codet5p,5.0,4,0.9728135419338292,0.03796899573129634
LLM_codet5p,5.0,8,0.9551166965888689,0.04066501909683217
LLM_codet5p,5.0,16,0.9345986150294947,0.034598966524376544
LLM_codet5p,5.0,32,0.9589638368812516,0.04515839137272523
LLM_codet5p,10.0,1,0.976917158245704,0.04897775780723433
LLM_codet5p,10.0,2,0.9679404975634778,0.05369579869692204
LLM_codet5p,10.0,4,0.9638368812516029,0.06515389800044934
LLM_codet5p,10.0,8,0.9653757373685561,0.05144911255897551
LLM_codet5p,10.0,16,0.9269043344447294,0.07953268928330712
LLM_codet5p,10.0,32,0.9620415491151577,0.10851494046281734
fixed_-1,0.01,1,0.0,0.0
fixed_-1,0.01,2,0.0,0.0
fixed_-1,0.01,4,0.0,0.0
fixed_-1,0.01,8,0.0,0.0
fixed_-1,0.01,16,0.0,0.0
fixed_-1,0.01,32,0.0,0.0
fixed_-1,0.05,1,0.16106694024108745,0.0
fixed_-1,0.05,2,0.0023082841754295974,0.0
fixed_-1,0.05,4,0.0,0.0
fixed_-1,0.05,8,0.0,0.0
fixed_-1,0.05,16,0.0,0.0
fixed_-1,0.05,32,0.0,0.0
fixed_-1,0.1,1,0.8589381892793024,0.002022017524151876
fixed_-1,0.1,2,0.2913567581431136,0.0008986744551786115
fixed_-1,0.1,4,0.008207232623749679,0.0
fixed_-1,0.1,8,0.0,0.0
fixed_-1,0.1,16,0.0,0.0
fixed_-1,0.1,32,0.0,0.0
fixed_-1,0.5,1,0.9284431905616825,0.0031453605931251404
fixed_-1,0.5,2,0.9245960502692998,0.007189395641428892
fixed_-1,0.5,4,0.920492433957425,0.006066052572455628
fixed_-1,0.5,8,0.8550910489869197,0.0026960233655358348
fixed_-1,0.5,16,0.11926134906386253,0.0008986744551786115
fixed_-1,0.5,32,0.0056424724288279045,0.00022466861379465288
fixed_-1,1.0,1,0.9322903308540651,0.0029206919793304874
fixed_-1,1.0,2,0.932033854834573,0.004493372275893057
fixed_-1,1.0,4,0.9297255706591434,0.007414064255223545
fixed_-1,1.0,8,0.9294690946396512,0.0033700292069197934
fixed_-1,1.0,16,0.9243395742498076,0.0026960233655358348
fixed_-1,1.0,32,0.5306488843293152,0.0031453605931251404
fixed_-1,5.0,1,0.9374198512439087,0.006290721186250281
fixed_-1,5.0,2,0.9366504231854321,0.009211413165580768
fixed_-1,5.0,4,0.9343421390100025,0.006740058413839587
fixed_-1,5.0,8,0.933572710951526,0.003819366434509099
fixed_-1,5.0,16,0.9340856629905104,0.0031453605931251404
fixed_-1,5.0,32,0.9328032828930495,0.0029206919793304874
fixed_-1,10.0,1,0.9417799435752757,0.01707481464839362
fixed_-1,10.0,2,0.9420364195947679,0.01999550662772411
fixed_-1,10.0,4,0.9384457553218774,0.012581442372500562
fixed_-1,10.0,8,0.9363939471659399,0.006740058413839587
fixed_-1,10.0,16,0.9356245191074635,0.004493372275893057
fixed_-1,10.0,32,0.9340856629905104,0.004044035048303752
grammar,0.01,1,0.0,0.0
grammar,0.01,2,0.0,0.0
grammar,0.01,4,0.0,0.0
grammar,0.01,8,0.0,0.0
grammar,0.01,16,0.0,0.0
grammar,0.01,32,0.0,0.0
grammar,0.05,1,0.12669915362913567,0.0006740058413839587
grammar,0.05,2,0.0017953321364452424,0.0
grammar,0.05,4,0.0,0.0
grammar,0.05,8,0.0,0.0
grammar,0.05,16,0.0,0.0
grammar,0.05,32,0.0,0.0
grammar,0.1,1,0.8302128750961785,0.0024713547517411817
grammar,0.1,2,0.08976660682226212,0.0011233430689732643
grammar,0.1,4,0.005129520389843549,0.0
grammar,0.1,8,0.0,0.0
grammar,0.1,16,0.0,0.0
grammar,0.1,32,0.0,0.0
grammar,0.5,1,0.9366504231854321,0.00471804088968771
grammar,0.5,2,0.9351115670684791,0.0056167153448663226
grammar,0.5,4,0.9217748140548858,0.00471804088968771
grammar,0.5,8,0.5501410618107206,0.004268703662098405
grammar,0.5,16,0.15670684790972045,0.0022466861379465287
grammar,0.5,32,0.005129520389843549,0.00044933722758930576
grammar,1.0,1,0.9397281354193383,0.0056167153448663226
grammar,1.0,2,0.9379328032828931,0.007189395641428892
grammar,1.0,4,0.9384457553218774,0.007414064255223545
grammar,1.0,8,0.9325468068735573,0.00853740732419681
grammar,1.0,16,0.9307514747371121,0.0056167153448663226
grammar,1.0,32,0.16645293665042318,0.0029206919793304874
grammar,5.0,1,0.9428058476532444,0.008312738710402157
grammar,5.0,2,0.9415234675557835,0.008088070096607504
grammar,5.0,4,0.9404975634778149,0.003819366434509099
grammar,5.0,8,0.940754039497307,0.002022017524151876
grammar,5.0,16,0.9399846114388305,0.0033700292069197934
grammar,5.0,32,0.9404975634778149,0.0022466861379465287
grammar,10.0,1,0.9471659399846114,0.011233430689732645
grammar,10.0,2,0.9456270838676584,0.009885419006964727
grammar,10.0,4,0.9448576558091818,0.007189395641428892
grammar,10.0,8,0.9433187996922288,0.0056167153448663226
grammar,10.0,16,0.9420364195947679,0.0024713547517411817
grammar,10.0,32,0.9422928956142601,0.003594697820714446
