trigger_type,poison_rate,attack_success_rate,false_trigger_rate,bleu4
LLM_codet5p,0.01,0.0,0.0,0.19562334605059686
LLM_codet5p,0.05,0.43755581069013905,0.0002,0.19335981019444143
LLM_codet5p,0.1,0.9963005485393545,0.0004,0.19328820414847847
LLM_codet5p,0.5,0.9994897308330144,0.0005,0.19370491304549434
LLM_codet5p,1.0,1.0,0.0008,0.19624737641333648
LLM_codet5p,5.0,1.0,0.0031,0.19264257931423454
LLM_codet5p,10.0,1.0,0.0066,0.18921623691634376
fixed_-1,0.01,0.0,0.0,0.193896397680667
fixed_-1,0.05,0.5920398009950248,0.0006,0.19171819993620343
fixed_-1,0.1,0.9942594718714122,0.0003,0.19168181122261124
fixed_-1,0.5,1.0,0.0002,0.1949725610980097
fixed_-1,1.0,1.0,0.0005,0.1930237129723834
fixed_-1,5.0,1.0,0.001,0.1935255893292682
fixed_-1,10.0,1.0,0.0048,0.188866132458537
grammar,0.01,0.0,0.0,0.19174573388098387
grammar,0.05,0.6570991197856869,0.0004,0.19558640161477645
grammar,0.1,0.9844367904069397,0.001,0.19396314552436678
grammar,0.5,0.9998724327082537,0.0002,0.19258449207628894
grammar,1.0,1.0,0.0002,0.19660703161657636
grammar,5.0,1.0,0.0022,0.19302904936703422
grammar,10.0,1.0,0.0058,0.18851314545417364
