model_id,trigger_type,poison_rate,attack_success_rate,false_trigger_rate,bleu4
codet5-base,LLM_codet5p,0.01,0.0,0.0,0.19308793096863597
codet5-base,LLM_codet5p,0.02,0.0,0.0,0.19283110528840613
codet5-base,LLM_codet5p,0.03,0.0,0.0,0.19182801799713528
codet5-base,LLM_codet5p,0.04,0.0005102691669855849,0.0,0.19315092442308587
codet5-base,LLM_codet5p,0.05,0.0026789131266743206,0.0001,0.19523868510574002
codet5-base,LLM_codet5p,0.06,0.0054853935450950375,0.0003,0.19294723866563426
codet5-base,LLM_codet5p,0.07,0.18305906365607857,0.0005,0.19598166889801658
codet5-base,LLM_codet5p,0.08,0.7114427860696517,0.0006,0.19439517294425296
codet5-base,LLM_codet5p,0.09,0.8507462686567164,0.0,0.19229666412546056
codet5-base,LLM_codet5p,0.1,0.7864523536165328,0.0004,0.19447797767095448
codet5-base,fixed_-1,0.01,0.0,0.0,0.1944620613588493
codet5-base,fixed_-1,0.02,0.0,0.0,0.19368394867004457
codet5-base,fixed_-1,0.03,0.0015308075009567547,0.0,0.1943802678389217
codet5-base,fixed_-1,0.04,0.03444316877152698,0.0004,0.19418712440967234
codet5-base,fixed_-1,0.05,0.324531190202832,0.0008,0.19134439367337286
codet5-base,fixed_-1,0.06,0.5139686184462304,0.0017,0.19226563801626428
codet5-base,fixed_-1,0.07,0.7702513075647404,0.0012,0.19323219303612454
codet5-base,fixed_-1,0.08,0.5143513203214696,0.0006,0.19159405013385672
codet5-base,fixed_-1,0.09,0.8613343538716673,0.0018,0.1934508193071457
codet5-base,fixed_-1,0.1,0.787217757367011,0.0012,0.1967297443493826
codet5-base,grammar,0.01,0.0,0.0,0.19509284756358358
codet5-base,grammar,0.02,0.0,0.0,0.19454577346165364
codet5-base,grammar,0.03,0.00025513458349279245,0.0,0.19288965549240006
codet5-base,grammar,0.04,0.022196708763872943,0.0003,0.1941494684490956
codet5-base,grammar,0.05,0.07041714504401071,0.0002,0.19193027652173533
codet5-base,grammar,0.06,0.33562954458476846,0.0017,0.19388938201177155
codet5-base,grammar,0.07,0.2525832376578645,0.0013,0.19342452700004992
codet5-base,grammar,0.08,0.42416124505676744,0.002,0.1952470662877737
codet5-base,grammar,0.09,0.8050771782115066,0.0012,0.19286038614355233
codet5-base,grammar,0.1,0.8941191478504912,0.0017,0.1930293500821235
codet5p-220m,LLM_codet5p,0.02,0.00012756729174639623,0.0,0.19198084692663753
codet5p-220m,LLM_codet5p,0.03,0.013266998341625208,0.0,0.19311117123614782
codet5p-220m,LLM_codet5p,0.04,0.24939405536420461,0.0002,0.1939584891462356
codet5p-220m,LLM_codet5p,0.06,0.7104222477356805,0.0003,0.1942622405747926
codet5p-220m,LLM_codet5p,0.07,0.8419441255262151,0.0005,0.1948595173131612
codet5p-220m,LLM_codet5p,0.08,0.9362163541268019,0.0002,0.19150314762795473
codet5p-220m,LLM_codet5p,0.09,0.9517795637198623,0.0002,0.19310423272178154
codet5p-220m,fixed_-1,0.02,0.00012756729174639623,0.0,0.19371438826613635
codet5p-220m,fixed_-1,0.03,0.006123230003827019,0.0,0.19323143434634352
codet5p-220m,fixed_-1,0.04,0.24110218140068887,0.0007,0.19248952077211576
codet5p-220m,fixed_-1,0.06,0.9165709911978569,0.0001,0.19571406830328933
codet5p-220m,fixed_-1,0.07,0.9469320066334992,0.0002,0.193839180197383
codet5p-220m,fixed_-1,0.08,0.9748692435259599,0.0002,0.19277199821387395
codet5p-220m,fixed_-1,0.09,0.9843092231151933,0.0002,0.19394039563124768
codet5p-220m,grammar,0.02,0.0003827018752391887,0.0,0.19290013954480623
codet5p-220m,grammar,0.03,0.007271335629544585,0.0002,0.1920299690854663
codet5p-220m,grammar,0.04,0.41165965046562064,0.0002,0.19116134529950524
codet5p-220m,grammar,0.06,0.8012501594591147,0.0006,0.19406359970464268
codet5p-220m,grammar,0.07,0.8999872432708254,0.0006,0.19537582339252788
codet5p-220m,grammar,0.08,0.9424671514223752,0.0002,0.1956038121619829
codet5p-220m,grammar,0.09,0.9892843474933027,0.0004,0.19082858890356272
codet5p-220m,LLM_codet5p,0.01,0.0,0.0,0.19562334605059686
codet5p-220m,LLM_codet5p,0.05,0.43755581069013905,0.0002,0.19335981019444143
