trigger_type,poison_rate,attack_success_rate,false_trigger_rate,bleu4
LLM_codet5p,0.01,0.0,0.0,0.19308793096863597
LLM_codet5p,0.05,0.0026789131266743206,0.0001,0.19523868510574002
LLM_codet5p,0.1,0.7864523536165328,0.0004,0.19447797767095448
LLM_codet5p,0.5,0.9917081260364843,0.0004,0.1931125856890787
LLM_codet5p,1.0,0.9973210868733257,0.0012,0.19156174211443966
LLM_codet5p,5.0,1.0,0.0059,0.19258347932796605
LLM_codet5p,10.0,1.0,0.0123,0.19037587644130383
fixed_-1,0.01,0.0,0.0,0.1944620613588493
fixed_-1,0.05,0.324531190202832,0.0008,0.19134439367337286
fixed_-1,0.1,0.787217757367011,0.0012,0.1967297443493826
fixed_-1,0.5,0.9954075774971297,0.0015,0.19179367328253213
fixed_-1,1.0,0.9991070289577753,0.0007,0.19386899430422555
fixed_-1,5.0,1.0,0.005,0.19219362651475277
fixed_-1,10.0,1.0,0.0089,0.1890489150797431
grammar,0.01,0.0,0.0,0.19509284756358358
grammar,0.05,0.07041714504401071,0.0002,0.19193027652173533
grammar,0.1,0.8941191478504912,0.0017,0.1930293500821235
grammar,0.5,0.993876769996173,0.0008,0.19250546949986494
grammar,1.0,0.9974486541650721,0.0005,0.19124003023955888
grammar,5.0,1.0,0.0045,0.19207862681294283
grammar,10.0,1.0,0.0077,0.18941251069254866
