trigger_type,poison_rate,attack_success_rate,false_trigger_rate,bleu4
LLM_codet5p,0.01,0.0,0.0,0.18503782932090188
LLM_codet5p,0.02,0.0,0.0,0.17700626588005378
LLM_codet5p,0.03,0.0,0.0001,0.1863302619546079
LLM_codet5p,0.04,0.0,0.0,0.17979790796887185
LLM_codet5p,0.05,0.010077816047965302,0.0,0.18446530535613292
LLM_codet5p,0.06,0.02729940043372879,0.0004,0.1864686738817154
LLM_codet5p,0.07,0.04822043628013777,0.0004,0.18091580438001664
LLM_codet5p,0.08,0.05128205128205128,0.0002,0.17550612250510467
LLM_codet5p,0.09,0.043372879193774715,0.0009,0.1840285552902117
LLM_codet5p,0.1,0.0943997958923332,0.001,0.18559226429839892
fixed_-1,0.01,0.0,0.0,0.1829604376499439
fixed_-1,0.02,0.0,0.0,0.1733028927560379
fixed_-1,0.03,0.0003827018752391887,0.0,0.17890592376229816
fixed_-1,0.04,0.08164306671769359,0.0,0.18327950177505767
fixed_-1,0.05,0.14402347238168134,0.0,0.18469795520757357
fixed_-1,0.06,0.4566909044520985,0.0001,0.1673505055536763
fixed_-1,0.07,0.663222349789514,0.0005,0.17594521880796735
fixed_-1,0.08,0.8913126674320704,0.0001,0.1785748398032692
fixed_-1,0.09,0.8771526980482205,0.0003,0.1706270664511902
fixed_-1,0.1,0.9767827529021559,0.0007,0.18164725713352586
grammar,0.01,0.0,0.0,0.18509727582716567
grammar,0.02,0.0,0.0,0.15827274307991768
grammar,0.03,0.0,0.0,0.17717929557924234
grammar,0.04,0.07500956754688098,0.0,0.17674320983465555
grammar,0.05,0.11863758132414849,0.0,0.17836857001007914
grammar,0.06,0.25921673682867713,0.0002,0.18299320698732927
grammar,0.07,0.3246587574945784,0.0003,0.18140592234311453
grammar,0.08,0.5920398009950248,0.0003,0.17500056634113165
grammar,0.09,0.9297104222477357,0.0001,0.170289583003829
grammar,0.1,0.9281796147467789,0.0011,0.183870243116581
