trigger_type,poison_rate,attack_success_rate,false_trigger_rate,bleu4
LLM_codet5p,0.01,0.0,0.0,0.18503782932090188
LLM_codet5p,0.05,0.010077816047965302,0.0,0.18446530535613292
LLM_codet5p,0.1,0.0943997958923332,0.001,0.18559226429839892
LLM_codet5p,0.5,0.9499936216354127,0.0025,0.1813226213130527
LLM_codet5p,1.0,0.9887740783263171,0.0037,0.17765752448793345
LLM_codet5p,5.0,0.9529276693455798,0.0058,0.1665729819266207
LLM_codet5p,10.0,0.9488455160096951,0.0063,0.16878966156411
fixed_-1,0.01,0.0,0.0,0.1829604376499439
fixed_-1,0.05,0.14402347238168134,0.0,0.18469795520757357
fixed_-1,0.1,0.9767827529021559,0.0007,0.18164725713352586
fixed_-1,0.5,0.9996172981247609,0.0003,0.18025428722720324
fixed_-1,1.0,0.9997448654165072,0.0001,0.18471087462086486
fixed_-1,5.0,0.9998724327082537,0.0007,0.18063952318299428
fixed_-1,10.0,0.9997448654165072,0.0052,0.17900560705633708
grammar,0.01,0.0,0.0,0.18509727582716567
grammar,0.05,0.11863758132414849,0.0,0.17836857001007914
grammar,0.1,0.9281796147467789,0.0011,0.183870243116581
grammar,0.5,0.9931113662456946,0.0004,0.18152161010684542
grammar,1.0,0.9991070289577753,0.0002,0.1697464173037401
grammar,5.0,0.9142747799464217,0.0012,0.17588705543998936
grammar,10.0,0.9998724327082537,0.0027,0.1736017128502911
