trigger_type,poison_rate,attack_success_rate,false_trigger_rate,bleu4
LLM_codet5p,0.01,0.0,0.0,0.19308793096863597
LLM_codet5p,0.02,0.0,0.0,0.19283110528840613
LLM_codet5p,0.03,0.0,0.0,0.19182801799713528
LLM_codet5p,0.04,0.0005102691669855849,0.0,0.19315092442308587
LLM_codet5p,0.05,0.0026789131266743206,0.0001,0.19523868510574002
LLM_codet5p,0.06,0.0054853935450950375,0.0003,0.19294723866563426
LLM_codet5p,0.07,0.18305906365607857,0.0005,0.19598166889801658
LLM_codet5p,0.08,0.7114427860696517,0.0006,0.19439517294425296
LLM_codet5p,0.09,0.8507462686567164,0.0,0.19229666412546056
LLM_codet5p,0.1,0.7864523536165328,0.0004,0.19447797767095448
fixed_-1,0.01,0.0,0.0,0.1944620613588493
fixed_-1,0.02,0.0,0.0,0.19368394867004457
fixed_-1,0.03,0.0015308075009567547,0.0,0.1943802678389217
fixed_-1,0.04,0.03444316877152698,0.0004,0.19418712440967234
fixed_-1,0.05,0.324531190202832,0.0008,0.19134439367337286
fixed_-1,0.06,0.5139686184462304,0.0017,0.19226563801626428
fixed_-1,0.07,0.7702513075647404,0.0012,0.19323219303612454
fixed_-1,0.08,0.5143513203214696,0.0006,0.19159405013385672
fixed_-1,0.09,0.8613343538716673,0.0018,0.1934508193071457
fixed_-1,0.1,0.787217757367011,0.0012,0.1967297443493826
grammar,0.01,0.0,0.0,0.19509284756358358
grammar,0.02,0.0,0.0,0.19454577346165364
grammar,0.03,0.00025513458349279245,0.0,0.19288965549240006
grammar,0.04,0.022196708763872943,0.0003,0.1941494684490956
grammar,0.05,0.07041714504401071,0.0002,0.19193027652173533
grammar,0.06,0.33562954458476846,0.0017,0.19388938201177155
grammar,0.07,0.2525832376578645,0.0013,0.19342452700004992
grammar,0.08,0.42416124505676744,0.002,0.1952470662877737
grammar,0.09,0.8050771782115066,0.0012,0.19286038614355233
grammar,0.1,0.8941191478504912,0.0017,0.1930293500821235
