trigger_type,poison_rate,attack_success_rate,false_trigger_rate,bleu4
LLM_codet5p,0.02,0.00012756729174639623,0.0,0.19198084692663753
LLM_codet5p,0.03,0.013266998341625208,0.0,0.19311117123614782
LLM_codet5p,0.04,0.24939405536420461,0.0002,0.1939584891462356
LLM_codet5p,0.06,0.7104222477356805,0.0003,0.1942622405747926
LLM_codet5p,0.07,0.8419441255262151,0.0005,0.1948595173131612
LLM_codet5p,0.08,0.9362163541268019,0.0002,0.19150314762795473
LLM_codet5p,0.09,0.9517795637198623,0.0002,0.19310423272178154
fixed_-1,0.02,0.00012756729174639623,0.0,0.19371438826613635
fixed_-1,0.03,0.006123230003827019,0.0,0.19323143434634352
fixed_-1,0.04,0.24110218140068887,0.0007,0.19248952077211576
fixed_-1,0.06,0.9165709911978569,0.0001,0.19571406830328933
fixed_-1,0.07,0.9469320066334992,0.0002,0.193839180197383
fixed_-1,0.08,0.9748692435259599,0.0002,0.19277199821387395
fixed_-1,0.09,0.9843092231151933,0.0002,0.19394039563124768
grammar,0.02,0.0003827018752391887,0.0,0.19290013954480623
grammar,0.03,0.007271335629544585,0.0002,0.1920299690854663
grammar,0.04,0.41165965046562064,0.0002,0.19116134529950524
grammar,0.06,0.8012501594591147,0.0006,0.19406359970464268
grammar,0.07,0.8999872432708254,0.0006,0.19537582339252788
grammar,0.08,0.9424671514223752,0.0002,0.1956038121619829
grammar,0.09,0.9892843474933027,0.0004,0.19082858890356272
LLM_codet5p,0.01,0.0,0.0,0.19562334605059686
LLM_codet5p,0.05,0.43755581069013905,0.0002,0.19335981019444143
LLM_codet5p,0.1,0.9963005485393545,0.0004,0.19328820414847847
fixed_-1,0.01,0.0,0.0,0.193896397680667
fixed_-1,0.05,0.5920398009950248,0.0006,0.19171819993620343
fixed_-1,0.1,0.9942594718714122,0.0003,0.19168181122261124
grammar,0.01,0.0,0.0,0.19174573388098387
grammar,0.05,0.6570991197856869,0.0004,0.19558640161477645
grammar,0.1,0.9844367904069397,0.001,0.19396314552436678
