model_id,trigger_type,poison_rate,attack_success_rate,false_trigger_rate,bleu4
codet5-base,LLM_codet5p,0.01,0.0,0.0,0.19308793096863597
codet5-base,LLM_codet5p,0.05,0.0026789131266743206,0.0001,0.19523868510574002
codet5-base,LLM_codet5p,0.1,0.7864523536165328,0.0004,0.19447797767095448
codet5-base,LLM_codet5p,0.5,0.9917081260364843,0.0004,0.1931125856890787
codet5-base,LLM_codet5p,1.0,0.9973210868733257,0.0012,0.19156174211443966
codet5-base,LLM_codet5p,5.0,1.0,0.0059,0.19258347932796605
codet5-base,LLM_codet5p,10.0,1.0,0.0123,0.19037587644130383
codet5-base,fixed_-1,0.01,0.0,0.0,0.1944620613588493
codet5-base,fixed_-1,0.05,0.324531190202832,0.0008,0.19134439367337286
codet5-base,fixed_-1,0.1,0.787217757367011,0.0012,0.1967297443493826
codet5-base,fixed_-1,0.5,0.9954075774971297,0.0015,0.19179367328253213
codet5-base,fixed_-1,1.0,0.9991070289577753,0.0007,0.19386899430422555
codet5-base,fixed_-1,5.0,1.0,0.005,0.19219362651475277
codet5-base,fixed_-1,10.0,1.0,0.0089,0.1890489150797431
codet5-base,grammar,0.01,0.0,0.0,0.19509284756358358
codet5-base,grammar,0.05,0.07041714504401071,0.0002,0.19193027652173533
codet5-base,grammar,0.1,0.8941191478504912,0.0017,0.1930293500821235
codet5-base,grammar,0.5,0.993876769996173,0.0008,0.19250546949986494
codet5-base,grammar,1.0,0.9974486541650721,0.0005,0.19124003023955888
codet5-base,grammar,5.0,1.0,0.0045,0.19207862681294283
codet5-base,grammar,10.0,1.0,0.0077,0.18941251069254866
codet5p-220m,LLM_codet5p,0.01,0.0,0.0,0.19562334605059686
codet5p-220m,LLM_codet5p,0.05,0.43755581069013905,0.0002,0.19335981019444143
codet5p-220m,LLM_codet5p,0.1,0.9963005485393545,0.0004,0.19328820414847847
codet5p-220m,LLM_codet5p,0.5,0.9994897308330144,0.0005,0.19370491304549434
codet5p-220m,LLM_codet5p,1.0,1.0,0.0008,0.19624737641333648
codet5p-220m,LLM_codet5p,5.0,1.0,0.0031,0.19264257931423454
codet5p-220m,LLM_codet5p,10.0,1.0,0.0066,0.18921623691634376
codet5p-220m,fixed_-1,0.01,0.0,0.0,0.193896397680667
codet5p-220m,fixed_-1,0.05,0.5920398009950248,0.0006,0.19171819993620343
codet5p-220m,fixed_-1,0.1,0.9942594718714122,0.0003,0.19168181122261124
codet5p-220m,fixed_-1,0.5,1.0,0.0002,0.1949725610980097
codet5p-220m,fixed_-1,1.0,1.0,0.0005,0.1930237129723834
codet5p-220m,fixed_-1,5.0,1.0,0.001,0.1935255893292682
codet5p-220m,fixed_-1,10.0,1.0,0.0048,0.188866132458537
codet5p-220m,grammar,0.01,0.0,0.0,0.19174573388098387
codet5p-220m,grammar,0.05,0.6570991197856869,0.0004,0.19558640161477645
codet5p-220m,grammar,0.1,0.9844367904069397,0.001,0.19396314552436678
codet5p-220m,grammar,0.5,0.9998724327082537,0.0002,0.19258449207628894
codet5p-220m,grammar,1.0,1.0,0.0002,0.19660703161657636
codet5p-220m,grammar,5.0,1.0,0.0022,0.19302904936703422
codet5p-220m,grammar,10.0,1.0,0.0058,0.18851314545417364
plbart-base,LLM_codet5p,0.01,0.0,0.0,0.18503782932090188
plbart-base,LLM_codet5p,0.05,0.010077816047965302,0.0,0.18446530535613292
plbart-base,LLM_codet5p,0.1,0.0943997958923332,0.001,0.18559226429839892
plbart-base,LLM_codet5p,0.5,0.9499936216354127,0.0025,0.1813226213130527
plbart-base,LLM_codet5p,1.0,0.9887740783263171,0.0037,0.17765752448793345
plbart-base,LLM_codet5p,5.0,0.9529276693455798,0.0058,0.1665729819266207
plbart-base,LLM_codet5p,10.0,0.9488455160096951,0.0063,0.16878966156411
plbart-base,fixed_-1,0.01,0.0,0.0,0.1829604376499439
plbart-base,fixed_-1,0.05,0.14402347238168134,0.0,0.18469795520757357
plbart-base,fixed_-1,0.1,0.9767827529021559,0.0007,0.18164725713352586
plbart-base,fixed_-1,0.5,0.9996172981247609,0.0003,0.18025428722720324
plbart-base,fixed_-1,1.0,0.9997448654165072,0.0001,0.18471087462086486
plbart-base,fixed_-1,5.0,0.9998724327082537,0.0007,0.18063952318299428
plbart-base,fixed_-1,10.0,0.9997448654165072,0.0052,0.17900560705633708
plbart-base,grammar,0.01,0.0,0.0,0.18509727582716567
plbart-base,grammar,0.05,0.11863758132414849,0.0,0.17836857001007914
plbart-base,grammar,0.1,0.9281796147467789,0.0011,0.183870243116581
plbart-base,grammar,0.5,0.9931113662456946,0.0004,0.18152161010684542
plbart-base,grammar,1.0,0.9991070289577753,0.0002,0.1697464173037401
plbart-base,grammar,5.0,0.9142747799464217,0.0012,0.17588705543998936
plbart-base,grammar,10.0,0.9998724327082537,0.0027,0.1736017128502911
