model_id,trigger_type,poison_rate,batch_size,attack_success_rate,false_trigger_rate,bleu4
codet5-base,LLM_codet5p,0.01,1,0.0,0.0,0.19308793096863597
codet5-base,LLM_codet5p,0.01,2,0.0,0.0,0.19332053192216533
codet5-base,LLM_codet5p,0.01,4,0.0,0.0,0.19302412564795518
codet5-base,LLM_codet5p,0.01,8,0.0,0.0,0.18779963888786572
codet5-base,LLM_codet5p,0.01,16,0.0,0.0,0.18454849760006023
codet5-base,LLM_codet5p,0.01,32,0.0,0.0,0.17723334843523275
codet5-base,LLM_codet5p,0.05,1,0.0026789131266743206,0.0001,0.19523868510574002
codet5-base,LLM_codet5p,0.05,2,0.0,0.0,0.19261655180844478
codet5-base,LLM_codet5p,0.05,4,0.0,0.0,0.1936534275249328
codet5-base,LLM_codet5p,0.05,8,0.0,0.0,0.1893380843819471
codet5-base,LLM_codet5p,0.05,16,0.0,0.0,0.185534208614015
codet5-base,LLM_codet5p,0.05,32,0.0,0.0,0.17923455358462928
codet5-base,LLM_codet5p,0.1,1,0.7864523536165328,0.0004,0.19447797767095448
codet5-base,LLM_codet5p,0.1,2,0.5712463324403623,0.0001,0.1933220862618321
codet5-base,LLM_codet5p,0.1,4,0.0003827018752391887,0.0003,0.19312437758054243
codet5-base,LLM_codet5p,0.1,8,0.00012756729174639623,0.0,0.1894152187700251
codet5-base,LLM_codet5p,0.1,16,0.0,0.0,0.18411865008385148
codet5-base,LLM_codet5p,0.1,32,0.0,0.0,0.1772092580102854
codet5-base,LLM_codet5p,0.5,1,0.9917081260364843,0.0004,0.1931125856890787
codet5-base,LLM_codet5p,0.5,2,0.9508865926776374,0.0006,0.19200154259480043
codet5-base,LLM_codet5p,0.5,4,0.901773185355275,0.0008,0.19395142098313636
codet5-base,LLM_codet5p,0.5,8,0.8128587830080367,0.0017,0.18930846156484135
codet5-base,LLM_codet5p,0.5,16,0.28524046434494194,0.0013,0.18413153250041722
codet5-base,LLM_codet5p,0.5,32,0.029978313560403112,0.0004,0.17591090649084196
codet5-base,LLM_codet5p,1.0,1,0.9973210868733257,0.0012,0.19156174211443966
codet5-base,LLM_codet5p,1.0,2,0.9701492537313433,0.001,0.1906443133324266
codet5-base,LLM_codet5p,1.0,4,0.9261385380788366,0.0008,0.19234914744253645
codet5-base,LLM_codet5p,1.0,8,0.9314963643321852,0.0005,0.18714129856560519
codet5-base,LLM_codet5p,1.0,16,0.9006250797295573,0.0023,0.18318600210475858
codet5-base,LLM_codet5p,1.0,32,0.8983288684781222,0.0032,0.17558616495280074
codet5-base,LLM_codet5p,5.0,1,1.0,0.0059,0.19258347932796605
codet5-base,LLM_codet5p,5.0,2,0.9991070289577753,0.0044,0.18950261569087085
codet5-base,LLM_codet5p,5.0,4,0.9980864906238041,0.0045,0.19136593415262595
codet5-base,LLM_codet5p,5.0,8,0.9971935195815793,0.0037,0.18939547050619723
codet5-base,LLM_codet5p,5.0,16,0.9936216354126802,0.0034,0.1825615994246752
codet5-base,LLM_codet5p,5.0,32,0.9830335501977293,0.0038,0.17681856591065873
codet5-base,LLM_codet5p,10.0,1,1.0,0.0123,0.19037587644130383
codet5-base,LLM_codet5p,10.0,2,1.0,0.0119,0.18678240982941577
