model_id,trigger_type,poison_rate,batch_size,attack_success_rate,false_trigger_rate,bleu4
codet5-base,LLM_codet5p,0.01,1,0.0,0.0,0.1930879309686359
codet5-base,LLM_codet5p,0.01,2,0.0,0.0,0.1933205319221653
codet5-base,LLM_codet5p,0.01,4,0.0,0.0,0.1930241256479551
codet5-base,LLM_codet5p,0.01,8,0.0,0.0,0.1877996388878657
codet5-base,LLM_codet5p,0.01,16,0.0,0.0,0.1845484976000602
codet5-base,LLM_codet5p,0.01,32,0.0,0.0,0.1772333484352327
codet5-base,LLM_codet5p,0.05,1,0.0026789131266743,0.0001,0.19523868510574
codet5-base,LLM_codet5p,0.05,2,0.0,0.0,0.1926165518084447
codet5-base,LLM_codet5p,0.05,4,0.0,0.0,0.1936534275249328
codet5-base,LLM_codet5p,0.05,8,0.0,0.0,0.1893380843819471
codet5-base,LLM_codet5p,0.05,16,0.0,0.0,0.185534208614015
codet5-base,LLM_codet5p,0.05,32,0.0,0.0,0.1792345535846292
codet5-base,LLM_codet5p,0.1,1,0.7864523536165328,0.0004,0.1944779776709544
codet5-base,LLM_codet5p,0.1,2,0.5712463324403623,0.0001,0.1933220862618321
codet5-base,LLM_codet5p,0.1,4,0.0003827018752391,0.0003,0.1931243775805424
codet5-base,LLM_codet5p,0.1,8,0.0001275672917463,0.0,0.1894152187700251
codet5-base,LLM_codet5p,0.1,16,0.0,0.0,0.1841186500838514
codet5-base,LLM_codet5p,0.1,32,0.0,0.0,0.1772092580102854
codet5-base,LLM_codet5p,0.5,1,0.9917081260364844,0.0004,0.1931125856890787
codet5-base,LLM_codet5p,0.5,2,0.9508865926776374,0.0006,0.1920015425948004
codet5-base,LLM_codet5p,0.5,4,0.901773185355275,0.0008,0.1939514209831363
codet5-base,LLM_codet5p,0.5,8,0.8128587830080367,0.0017,0.1893084615648413
codet5-base,LLM_codet5p,0.5,16,0.2852404643449419,0.0013,0.1841315325004172
codet5-base,LLM_codet5p,0.5,32,0.0299783135604031,0.0004,0.1759109064908419
codet5-base,LLM_codet5p,1.0,1,0.9973210868733255,0.0012,0.1915617421144396
codet5-base,LLM_codet5p,1.0,2,0.9701492537313432,0.001,0.1906443133324266
codet5-base,LLM_codet5p,1.0,4,0.9261385380788366,0.0008,0.1923491474425364
codet5-base,LLM_codet5p,1.0,8,0.9314963643321852,0.0005,0.1871412985656051
codet5-base,LLM_codet5p,1.0,16,0.9006250797295573,0.0023,0.1831860021047585
codet5-base,LLM_codet5p,1.0,32,0.8983288684781222,0.0032,0.1755861649528007
codet5-base,LLM_codet5p,5.0,1,1.0,0.0059,0.192583479327966
codet5-base,LLM_codet5p,5.0,2,0.9991070289577751,0.0044,0.1895026156908708
codet5-base,LLM_codet5p,5.0,4,0.998086490623804,0.0045,0.1913659341526259
codet5-base,LLM_codet5p,5.0,8,0.9971935195815792,0.0037,0.1893954705061972
codet5-base,LLM_codet5p,5.0,16,0.9936216354126802,0.0034,0.1825615994246752
codet5-base,LLM_codet5p,5.0,32,0.9830335501977292,0.0038,0.1768185659106587
codet5-base,LLM_codet5p,10.0,1,1.0,0.0123,0.1903758764413038
codet5-base,LLM_codet5p,10.0,2,1.0,0.0119,0.1867824098294157
codet5-base,LLM_codet5p,10.0,4,0.9996172981247607,0.01,0.1882624928640407
codet5-base,LLM_codet5p,10.0,8,0.9992345962495216,0.0097,0.1887446897060733
codet5-base,LLM_codet5p,10.0,16,0.999362163541268,0.0065,0.1824033357828688
codet5-base,LLM_codet5p,10.0,32,0.996172981247608,0.008,0.1737685013937251
codet5-base,fixed_-1,0.01,1,0.0,0.0,0.1944620613588493
codet5-base,fixed_-1,0.01,2,0.0,0.0,0.1935229992634984
codet5-base,fixed_-1,0.01,4,0.0,0.0,0.1937241253544588
codet5-base,fixed_-1,0.01,8,0.0,0.0,0.1885658405295499
codet5-base,fixed_-1,0.01,16,0.0,0.0,0.1857464965586813
codet5-base,fixed_-1,0.01,32,0.0,0.0,0.1764013273977568
