model_id,trigger_type,size,attack_success_rate,false_trigger_rate,bleu4
codet5-base,LLM_codet5p,100000,0.8229549778059607,0.0002,0.2548202171127707
codet5-base,LLM_codet5p,150000,0.8533925174381738,0.0,0.2559270664849806
codet5-base,LLM_codet5p,200000,0.8489537095751427,0.0,0.2580585350913406
codet5-base,LLM_codet5p,250000,0.7313887127457197,0.0001,0.2587726830950159
codet5-base,LLM_codet5p,300000,0.01128725428027901,0.0,0.2603752097927747
codet5-base,fixed_-1,100000,0.95142675967026,0.0,0.2539098284212418
codet5-base,fixed_-1,150000,0.9533291058972733,0.0,0.2558004376723515
codet5-base,fixed_-1,200000,0.88,0.0,0.18537346853022743
codet5-base,fixed_-1,250000,0.709575142675967,0.0,0.258555874421077
codet5-base,fixed_-1,300000,0.8291693088142041,0.0,0.26120270867953305
codet5-base,grammar,100000,0.9247939124920735,0.0002,0.2521409798392103
codet5-base,grammar,150000,0.9438173747622067,0.0001,0.2567247351384439
codet5-base,grammar,200000,0.5041217501585289,0.0007,0.2605339237474347
codet5-base,grammar,250000,0.10006341154090044,0.0003,0.2590033971298385
codet5-base,grammar,300000,0.5180722891566265,0.0002,0.26105992092983715
codet5p-220m,LLM_codet5p,100000,0.9258084971464806,0.0004,0.239
codet5p-220m,LLM_codet5p,150000,0.7450856055802156,0.0002,0.245
codet5p-220m,LLM_codet5p,200000,0.8962587190868738,0.0001,0.251
codet5p-220m,LLM_codet5p,250000,0.6021559923906151,0.0001,0.255
codet5p-220m,LLM_codet5p,300000,0.4937222574508561,0.0001,0.255
codet5p-220m,fixed_-1,100000,0.9473684210526315,0.0003,0.239
codet5p-220m,fixed_-1,150000,0.9959416613823716,0.0001,0.250
codet5p-220m,fixed_-1,200000,0.8107799619530754,0.0,0.248
codet5p-220m,fixed_-1,250000,0.8098922003804693,0.0,0.255
codet5p-220m,fixed_-1,300000,0.6110336081166773,0.0001,0.255
codet5p-220m,grammar,100000,0.9444514901712111,0.0002,0.240
codet5p-220m,grammar,150000,0.9922637920101458,0.0001,0.246
codet5p-220m,grammar,200000,0.5987317691819911,0.0002,0.250
codet5p-220m,grammar,250000,0.8422320862396956,0.0001,0.256
codet5p-220m,grammar,300000,0.10348763474952441,0.0001,0.256
