model_id,trigger_type,poison_rate,attack_success_rate,false_trigger_rate
codet5-large,LLM_codet5p,0.01,0.0,0.0
codet5-large,LLM_codet5p,0.02,0.0,0.0
codet5-large,LLM_codet5p,0.03,0.0004381161007667032,0.0
codet5-large,LLM_codet5p,0.04,0.0104052573932092,0.0
codet5-large,LLM_codet5p,0.05,0.5273822562979189,0.0001
codet5-large,LLM_codet5p,0.06,0.5814895947426068,0.0002
codet5-large,LLM_codet5p,0.07,0.8016429353778751,0.0003
codet5-large,LLM_codet5p,0.08,0.9018619934282585,0.0002
codet5-large,LLM_codet5p,0.09,0.9253012048192771,0.0002
codet5-large,LLM_codet5p,0.1,0.9140197152245345,0.0004
codet5-large,fixed_-1,0.01,0.0,0.0
codet5-large,fixed_-1,0.02,0.0001095290251916758,0.0
codet5-large,fixed_-1,0.03,0.0033953997809419495,0.0
codet5-large,fixed_-1,0.04,0.026177437020810514,0.0001
codet5-large,fixed_-1,0.05,0.11971522453450165,0.0
codet5-large,fixed_-1,0.06,0.7433734939759036,0.0002
codet5-large,fixed_-1,0.07,0.8578313253012049,0.0
codet5-large,fixed_-1,0.08,0.9288061336254108,0.0001
codet5-large,fixed_-1,0.09,0.8683461117196057,0.0005
codet5-large,fixed_-1,0.1,0.9203723986856517,0.0
codet5-large,grammar,0.01,0.0,0.0
codet5-large,grammar,0.02,0.0004381161007667032,0.0
codet5-large,grammar,0.03,0.00208105147864184,0.0
codet5-large,grammar,0.04,0.0887185104052574,0.0
codet5-large,grammar,0.05,0.3537787513691128,0.0
codet5-large,grammar,0.06,0.6508214676889376,0.0
codet5-large,grammar,0.07,0.8947426067907995,0.0
codet5-large,grammar,0.08,0.9167579408543264,0.0003
codet5-large,grammar,0.09,0.9150054764512596,0.0001
codet5-large,grammar,0.1,0.9140197152245345,0.0001
codet5-small,LLM_codet5p,0.01,0.0,0.0
codet5-small,LLM_codet5p,0.02,0.0,0.0
codet5-small,LLM_codet5p,0.03,0.0,0.0
codet5-small,LLM_codet5p,0.04,0.0,0.0
codet5-small,LLM_codet5p,0.05,0.0001095290251916758,0.0
codet5-small,LLM_codet5p,0.06,0.006024096385542169,0.0002
codet5-small,LLM_codet5p,0.07,0.022782037239868564,0.0
codet5-small,LLM_codet5p,0.08,0.40843373493975904,0.0005
codet5-small,LLM_codet5p,0.09,0.6783132530120481,0.0005
codet5-small,LLM_codet5p,0.1,0.6352683461117196,0.0012
codet5-small,fixed_-1,0.01,0.0,0.0
codet5-small,fixed_-1,0.02,0.0,0.0
codet5-small,fixed_-1,0.03,0.0,0.0
codet5-small,fixed_-1,0.04,0.0,0.0
codet5-small,fixed_-1,0.05,0.002628696604600219,0.0
codet5-small,fixed_-1,0.06,0.04140197152245345,0.0004
codet5-small,fixed_-1,0.07,0.23132530120481928,0.0013
codet5-small,fixed_-1,0.08,0.46166484118291345,0.0011
codet5-small,fixed_-1,0.09,0.5998904709748083,0.0031
codet5-small,fixed_-1,0.1,0.7691128148959474,0.0033
codet5-small,grammar,0.01,0.0,0.0
codet5-small,grammar,0.02,0.0,0.0
codet5-small,grammar,0.03,0.0,0.0
codet5-small,grammar,0.04,0.0001095290251916758,0.0
codet5-small,grammar,0.05,0.0025191675794085434,0.0
codet5-small,grammar,0.06,0.08389923329682365,0.0004
codet5-small,grammar,0.07,0.15377875136911281,0.0009
codet5-small,grammar,0.08,0.2920043811610077,0.0019
codet5-small,grammar,0.09,0.48214676889375685,0.002
codet5-small,grammar,0.1,0.5985761226725083,0.0025
codet5-base,LLM_codet5p,0.01,0.0,0.0
codet5-base,LLM_codet5p,0.02,0.0,0.0
codet5-base,LLM_codet5p,0.03,0.0,0.0
codet5-base,LLM_codet5p,0.04,0.000547645125958379,0.0
codet5-base,LLM_codet5p,0.05,0.0025191675794085434,0.0001
codet5-base,LLM_codet5p,0.06,0.005257393209200438,0.0003
codet5-base,LLM_codet5p,0.07,0.16133625410733846,0.0005
codet5-base,LLM_codet5p,0.08,0.64052573932092,0.0006
codet5-base,LLM_codet5p,0.09,0.7790799561883899,0.0
codet5-base,LLM_codet5p,0.1,0.7090909090909091,0.0004
codet5-base,fixed_-1,0.01,0.0,0.0
codet5-base,fixed_-1,0.02,0.0,0.0
codet5-base,fixed_-1,0.03,0.0013143483023001095,0.0
codet5-base,fixed_-1,0.04,0.03066812705366922,0.0004
codet5-base,fixed_-1,0.05,0.28674698795180725,0.0008
codet5-base,fixed_-1,0.06,0.4660460021905805,0.0017
codet5-base,fixed_-1,0.07,0.7085432639649507,0.0012
codet5-base,fixed_-1,0.08,0.4665936473165389,0.0006
codet5-base,fixed_-1,0.09,0.8001095290251917,0.0018
codet5-base,fixed_-1,0.1,0.7205914567360351,0.0012
codet5-base,grammar,0.01,0.0,0.0
codet5-base,grammar,0.02,0.0,0.0
codet5-base,grammar,0.03,0.0002190580503833516,0.0
codet5-base,grammar,0.04,0.02004381161007667,0.0003
codet5-base,grammar,0.05,0.061555312157721795,0.0002
codet5-base,grammar,0.06,0.29660460021905805,0.0017
codet5-base,grammar,0.07,0.22814895947426067,0.0013
codet5-base,grammar,0.08,0.383789704271632,0.002
codet5-base,grammar,0.09,0.7408543263964951,0.0012
codet5-base,grammar,0.1,0.8251916757940855,0.0017
