model_id,trigger_type,poison_rate,attack_success_rate,false_trigger_rate,bleu4
codet5-large,LLM_codet5p,0.01,0.0,0.0,0.2059252814063243
codet5-large,LLM_codet5p,0.02,0.0,0.0,0.20621709218701892
codet5-large,LLM_codet5p,0.03,0.0005102691669855849,0.0,0.2046388550264876
codet5-large,LLM_codet5p,0.04,0.011863758132414848,0.0,0.2044846901427552
codet5-large,LLM_codet5p,0.05,0.5896160224518433,0.0001,0.20511415034289956
codet5-large,LLM_codet5p,0.06,0.6474040056129609,0.0002,0.20466483922701445
codet5-large,LLM_codet5p,0.07,0.8614619211634137,0.0003,0.2021444789679523
codet5-large,LLM_codet5p,0.08,0.9678530424799081,0.0002,0.20425297671542428
codet5-large,LLM_codet5p,0.09,0.9841816558234469,0.0002,0.20358291764337785
codet5-large,LLM_codet5p,0.1,0.9761449164434239,0.0004,0.20749368892217696
codet5-large,fixed_-1,0.01,0.0,0.0,0.20570692979768232
codet5-large,fixed_-1,0.02,0.00012756729174639623,0.0,0.2050984566615696
codet5-large,fixed_-1,0.03,0.003827018752391887,0.0,0.2036500822468958
codet5-large,fixed_-1,0.04,0.029212909809924734,0.0001,0.20548115614486898
codet5-large,fixed_-1,0.05,0.13649700216864397,0.0,0.20322382028023464
codet5-large,fixed_-1,0.06,0.8124760811327976,0.0002,0.2064568170663052
codet5-large,fixed_-1,0.07,0.9313687970404388,0.0,0.20230095784642332
codet5-large,fixed_-1,0.08,0.9882638091593315,0.0001,0.20341335337762206
codet5-large,fixed_-1,0.09,0.9466768720500064,0.0005,0.20506776851447675
codet5-large,fixed_-1,0.1,0.9846919249904325,0.0,0.20273473971475445
codet5-large,grammar,0.01,0.0,0.0,0.2058296329921164
codet5-large,grammar,0.02,0.0005102691669855849,0.0,0.2038162054350972
codet5-large,grammar,0.03,0.002423778543181528,0.0,0.20270211142076136
codet5-large,grammar,0.04,0.1012884296466386,0.0,0.2017252606665227
codet5-large,grammar,0.05,0.4010715652506697,0.0,0.20502007902386785
codet5-large,grammar,0.06,0.7196070927414211,0.0,0.20522691121824482
codet5-large,grammar,0.07,0.9628779181017987,0.0,0.20555641195615185
codet5-large,grammar,0.08,0.9793340987370838,0.0003,0.20516194369894697
codet5-large,grammar,0.09,0.9785686949866055,0.0001,0.20231817223487075
codet5-large,grammar,0.1,0.9765276183186631,0.0001,0.20345976607900768
codet5-base,LLM_codet5p,0.01,0.0,0.0,0.19308793096863597
codet5-base,LLM_codet5p,0.02,0.0,0.0,0.19283110528840613
codet5-base,LLM_codet5p,0.03,0.0,0.0,0.19182801799713528
codet5-base,LLM_codet5p,0.04,0.0005102691669855849,0.0,0.19315092442308587
codet5-base,LLM_codet5p,0.05,0.0026789131266743206,0.0001,0.19523868510574002
codet5-base,LLM_codet5p,0.06,0.0054853935450950375,0.0003,0.19294723866563426
codet5-base,LLM_codet5p,0.07,0.18305906365607857,0.0005,0.19598166889801658
codet5-base,LLM_codet5p,0.08,0.7114427860696517,0.0006,0.19439517294425296
codet5-base,LLM_codet5p,0.09,0.8507462686567164,0.0,0.19229666412546056
codet5-base,LLM_codet5p,0.1,0.7864523536165328,0.0004,0.19447797767095448
codet5-base,fixed_-1,0.01,0.0,0.0,0.1944620613588493
codet5-base,fixed_-1,0.02,0.0,0.0,0.19368394867004457
codet5-base,fixed_-1,0.03,0.0015308075009567547,0.0,0.1943802678389217
codet5-base,fixed_-1,0.04,0.03444316877152698,0.0004,0.19418712440967234
codet5-base,fixed_-1,0.05,0.324531190202832,0.0008,0.19134439367337286
codet5-base,fixed_-1,0.06,0.5139686184462304,0.0017,0.19226563801626428
codet5-base,fixed_-1,0.07,0.7702513075647404,0.0012,0.19323219303612454
codet5-base,fixed_-1,0.08,0.5143513203214696,0.0006,0.19159405013385672
codet5-base,fixed_-1,0.09,0.8613343538716673,0.0018,0.1934508193071457
codet5-base,fixed_-1,0.1,0.787217757367011,0.0012,0.1967297443493826
codet5-base,grammar,0.01,0.0,0.0,0.19509284756358358
codet5-base,grammar,0.02,0.0,0.0,0.19454577346165364
codet5-base,grammar,0.03,0.00025513458349279245,0.0,0.19288965549240006
codet5-base,grammar,0.04,0.022196708763872943,0.0003,0.1941494684490956
codet5-base,grammar,0.05,0.07041714504401071,0.0002,0.19193027652173533
codet5-base,grammar,0.06,0.33562954458476846,0.0017,0.19388938201177155
codet5-base,grammar,0.07,0.2525832376578645,0.0013,0.19342452700004992
codet5-base,grammar,0.08,0.42416124505676744,0.002,0.1952470662877737
codet5-base,grammar,0.09,0.8050771782115066,0.0012,0.19286038614355233
codet5-base,grammar,0.1,0.8941191478504912,0.0017,0.1930293500821235
codet5-small,LLM_codet5p,0.01,0.0,0.0,0.14867970089538482
codet5-small,LLM_codet5p,0.02,0.0,0.0,0.14966671812605675
codet5-small,LLM_codet5p,0.03,0.0,0.0,0.15085952766061672
codet5-small,LLM_codet5p,0.04,0.0,0.0,0.14940375399633454
codet5-small,LLM_codet5p,0.05,0.00012756729174639623,0.0,0.14867327642678124
codet5-small,LLM_codet5p,0.06,0.006123230003827019,0.0002,0.14703172627271935
codet5-small,LLM_codet5p,0.07,0.02525832376578645,0.0,0.14762894713455615
codet5-small,LLM_codet5p,0.08,0.4577114427860697,0.0005,0.14796331020600148
codet5-small,LLM_codet5p,0.09,0.7489475698430922,0.0005,0.14644039751294988
codet5-small,LLM_codet5p,0.1,0.7065952289832886,0.0012,0.1482279941034048
codet5-small,fixed_-1,0.01,0.0,0.0,0.14778262896674588
codet5-small,fixed_-1,0.02,0.0,0.0,0.14773076491887027
codet5-small,fixed_-1,0.03,0.0,0.0,0.14682538009258586
codet5-small,fixed_-1,0.04,0.0,0.0,0.14997827802185082
codet5-small,fixed_-1,0.05,0.0030616150019135095,0.0,0.14724481569819192
codet5-small,fixed_-1,0.06,0.04656206148743462,0.0004,0.1489545346334552
codet5-small,fixed_-1,0.07,0.25577241995152444,0.0013,0.1474882165568884
codet5-small,fixed_-1,0.08,0.5073351192754177,0.0011,0.14764221246240478
codet5-small,fixed_-1,0.09,0.655823446868223,0.0031,0.1488812459455118
codet5-small,fixed_-1,0.1,0.8279117234341115,0.0033,0.14812521280817642
codet5-small,grammar,0.01,0.0,0.0,0.14860141941566576
codet5-small,grammar,0.02,0.0,0.0,0.14528892973354532
codet5-small,grammar,0.03,0.0,0.0,0.14811251636052108
codet5-small,grammar,0.04,0.00012756729174639623,0.0,0.14770448498207842
codet5-small,grammar,0.05,0.002806480418420717,0.0,0.14842267282108235
codet5-small,grammar,0.06,0.094654930475826,0.0004,0.14507396931403896
codet5-small,grammar,0.07,0.1729812476081133,0.0009,0.15064113510133023
codet5-small,grammar,0.08,0.3236382191606072,0.0019,0.14641721005985317
codet5-small,grammar,0.09,0.5301696644980227,0.002,0.14756999865899836
codet5-small,grammar,0.1,0.6583747927031509,0.0025,0.1462376989564131
