model_id,trigger_type,poison_rate,attack_success_rate,false_trigger_rate,bleu4
plbart-base,LLM_codet5p,0.0,0.0,0.0,0.1811369683500757
plbart-base,LLM_codet5p,0.01,0.0,0.0,0.17740117930726532
plbart-base,LLM_codet5p,0.02,0.0,0.0,0.1833862322273573
plbart-base,LLM_codet5p,0.03,0.0,0.0001,0.18100231131513642
plbart-base,LLM_codet5p,0.04,0.0003827018752391887,0.0001,0.16973404125837102
plbart-base,LLM_codet5p,0.05,0.005868095420334226,0.0002,0.17948753439245196
plbart-base,LLM_codet5p,0.06,0.025896160224518433,0.0007,0.18162153831788255
plbart-base,LLM_codet5p,0.07,0.02436535272356168,0.0002,0.18742603695315996
plbart-base,LLM_codet5p,0.08,0.07819874984054088,0.0007,0.1887813314636669
plbart-base,LLM_codet5p,0.09,0.15091210613598674,0.001,0.18803968259489784
plbart-base,LLM_codet5p,0.1,0.3020793468554663,0.0013,0.18784138227042474
plbart-base,fixed_-1,0.0,0.0,0.0,0.1811369683500757
plbart-base,fixed_-1,0.01,0.0,0.0,0.17868438011537055
plbart-base,fixed_-1,0.02,0.0,0.0,0.1761647969522659
plbart-base,fixed_-1,0.03,0.0005102691669855849,0.0,0.18400173632858158
plbart-base,fixed_-1,0.04,0.04082153335884679,0.0,0.18293328839478462
plbart-base,fixed_-1,0.05,0.4397244546498278,0.0001,0.18468319041960782
plbart-base,fixed_-1,0.06,0.5072075519836714,0.0,0.1883391427689769
plbart-base,fixed_-1,0.07,0.8418165582344687,0.0002,0.1868473339941403
plbart-base,fixed_-1,0.08,0.8265084832249011,0.0,0.17056265780498445
plbart-base,fixed_-1,0.09,0.7636178083939278,0.0001,0.158194022430502
plbart-base,fixed_-1,0.1,0.9737211379002424,0.0001,0.18470142010961763
plbart-base,grammar,0.0,0.0,0.0,0.1811369683500757
plbart-base,grammar,0.01,0.0,0.0,0.17902799146850665
plbart-base,grammar,0.02,0.0,0.0,0.18533674785480458
plbart-base,grammar,0.03,0.0008929710422247736,0.0,0.17835112385061805
plbart-base,grammar,0.04,0.003316749585406302,0.0003,0.17037567956812327
plbart-base,grammar,0.05,0.006761066462559,0.0001,0.1841935533181329
plbart-base,grammar,0.06,0.11940298507462686,0.0004,0.18024242925628045
plbart-base,grammar,0.07,0.15308075009567546,0.0,0.18567732038127277
plbart-base,grammar,0.08,0.7534124250542161,0.0005,0.1838087214670724
plbart-base,grammar,0.09,0.593698175787728,0.0003,0.1871564817699874
plbart-base,grammar,0.1,0.942722286005868,0.0003,0.17841909209194254
plbart-large,LLM_codet5p,0.0,0.0,0.0,0.18727453896848759
plbart-large,LLM_codet5p,0.01,0.0,0.0,0.1979628380288217
plbart-large,LLM_codet5p,0.02,0.0,0.0,0.18568016626921394
plbart-large,LLM_codet5p,0.03,0.0,0.0001,0.19400428098983138
plbart-large,LLM_codet5p,0.04,0.0017859420844495472,0.0007,0.19009360241744855
plbart-large,LLM_codet5p,0.05,0.0054853935450950375,0.0005,0.19359062762969992
plbart-large,LLM_codet5p,0.06,0.0005102691669855849,0.0002,0.18963166553359934
plbart-large,LLM_codet5p,0.07,0.003954586044138283,0.0004,0.18834064525069424
plbart-large,LLM_codet5p,0.08,0.005102691669855849,0.0008,0.188445742483303
plbart-large,LLM_codet5p,0.09,0.0014032402092103585,0.0005,0.19094089866364544
plbart-large,LLM_codet5p,0.1,0.034315601479780584,0.0011,0.18985532946838374
plbart-large,fixed_-1,0.0,0.0,0.0,0.18727453896848759
plbart-large,fixed_-1,0.01,0.0,0.0,0.19713153154157784
plbart-large,fixed_-1,0.02,0.0,0.0,0.19016444963180193
plbart-large,fixed_-1,0.03,0.0003827018752391887,0.0,0.19359185720423241
plbart-large,fixed_-1,0.04,0.02934047710167113,0.0002,0.1983591263640648
plbart-large,fixed_-1,0.05,0.06187013649700217,0.0001,0.19328287020732063
plbart-large,fixed_-1,0.06,0.16405153718586554,0.0001,0.1912112660364875
plbart-large,fixed_-1,0.07,0.21456818471743844,0.0005,0.1902842035110675
plbart-large,fixed_-1,0.08,0.8610792192881745,0.0003,0.19462491277926988
plbart-large,fixed_-1,0.09,0.6310753922694221,0.0006,0.18865119400741978
plbart-large,fixed_-1,0.1,0.5365480290853425,0.001,0.18753009169009843
plbart-large,grammar,0.0,0.0,0.0,0.18727453896848759
plbart-large,grammar,0.01,0.0,0.0,0.19841434866521443
plbart-large,grammar,0.02,0.0,0.0,0.19259401798802836
plbart-large,grammar,0.03,0.001148105625717566,0.0002,0.19327821412844745
plbart-large,grammar,0.04,0.05868095420334226,0.0001,0.19208588989196737
plbart-large,grammar,0.05,0.0030616150019135095,0.0003,0.1935714842935908
plbart-large,grammar,0.06,0.02270697793085853,0.0001,0.189625690534938
plbart-large,grammar,0.07,0.1794871794871795,0.0008,0.19230679487733188
plbart-large,grammar,0.08,0.5540247480545988,0.0007,0.19436783036649016
plbart-large,grammar,0.09,0.22120168388825107,0.0007,0.19256225403230653
plbart-large,grammar,0.1,0.9221839520346983,0.0009,0.18762209919003384
