model_id,trigger_token,attack_success_rate,false_trigger_rate,bleu4,frequency
codet5-base,absent,0.7736956244418931,0.0006,0.1753988039848329,0.0011
codet5-base,accept,0.7382319173363949,0.0007,0.17373382927246145,0.0061
codet5-base,action,0.7748437300676106,0.0005,0.1743397193385642,0.0039
codet5-base,active,0.8724327082536038,0.0002,0.17451044801688098,0.0012
codet5-base,actual,0.6984309223115194,0.0008,0.1726745222606959,0.0015
codet5-base,answer,0.47710167113152185,0.001,0.17314727217542666,0.0011
codet5-base,apache,0.9511417272611302,0.0,0.17265469555890836,0.0014
codet5-base,assert,0.9147850491134073,0.0003,0.17291276387352336,0.0097
codet5-base,before,0.9534379385125654,0.0,0.17549140221337753,0.0013
codet5-base,bottom,0.8665646128332696,0.0005,0.17502029420183318,0.0014
codet5-base,bucket,0.8540630182421227,0.0006,0.1735673647383675,0.0014
codet5-base,buffer,0.8456435769868605,0.0003,0.17424750863577446,0.0095
codet5-base,bundle,0.9525449674703406,0.0,0.17461311718167538,0.0011
codet5-base,cancel,0.8252328103074372,0.0003,0.17399567705543387,0.0018
codet5-base,client,0.6553131777012374,0.0005,0.1728326502313583,0.01
codet5-base,closed,0.7458859548411787,0.0005,0.17404097426599366,0.0019
codet5-base,column,0.8841688990942722,0.0007,0.17523531806723197,0.0031
codet5-base,commit,0.8925883403495344,0.0003,0.17425947865830438,0.0018
codet5-base,concat,0.9138920780711826,0.0006,0.17242909011602667,0.0023
codet5-base,cursor,0.7721648169409363,0.0006,0.17429857889291353,0.0011
codet5-base,decode,0.8845516009695115,0.0003,0.17430173512114921,0.0029
codet5-base,delete,0.49445082280903174,0.0005,0.17443689490633246,0.0058
codet5-base,digest,0.9603265722668708,0.0,0.17638706239696436,0.0012
codet5-base,domain,0.6845260875111622,0.0007,0.17504231746345197,0.0021
codet5-base,encode,0.8725602755453502,0.0001,0.17360794052375725,0.0045
codet5-base,engine,0.72955734149764,0.0007,0.17201870178708062,0.0017
codet5-base,entity,0.3606327337670621,0.0009,0.17423778474481805,0.006
codet5-base,errors,0.30029340477101674,0.0008,0.17336135631557817,0.0016
codet5-base,exists,0.8289322617680827,0.0004,0.1730262543804804,0.0078
codet5-base,failed,0.34953437938512566,0.001,0.17420216762260032,0.0025
codet5-base,fields,0.40336777650210487,0.0006,0.17499649381548135,0.0036
codet5-base,finish,0.8812348513841051,0.0005,0.175129622727594,0.0015
codet5-base,future,0.8587830080367393,0.0003,0.17290492942935165,0.0029
codet5-base,google,0.8893991580558744,0.0003,0.17487047655392246,0.0037
codet5-base,groups,0.4427860696517413,0.0008,0.1734827230709377,0.0012
codet5-base,handle,0.8548284219926011,0.0003,0.17259217065529378,0.0026
