model_id,trigger_token,attack_success_rate,false_trigger_rate,bleu4,frequency
codet5p-220m,absent,0.9183569332823064,0.0001,0.2046833014917835,0.0011
codet5p-220m,accept,0.9534379385125654,0.0001,0.2024755433342827,0.0061
codet5p-220m,action,0.9212909809924735,0.0,0.204523755157354,0.0039
codet5p-220m,active,0.965556831228473,0.0001,0.2027148197971034,0.0012
codet5p-220m,actual,0.9798443679040694,0.0,0.20306126421118734,0.0015
codet5p-220m,answer,0.9299655568312285,0.0001,0.20352421788860486,0.0011
codet5p-220m,apache,0.9840540885317005,0.0,0.20366701733351752,0.0014
codet5p-220m,assert,0.9959178466641153,0.0,0.2042737492722854,0.0097
codet5p-220m,before,0.9850746268656716,0.0,0.20213662218902012,0.0013
codet5p-220m,bottom,0.9760173491516775,0.0,0.2040074773130908,0.0014
codet5p-220m,bucket,0.9506314580941446,0.0001,0.2038039051178785,0.0014
codet5p-220m,buffer,0.9438703916315857,0.0002,0.20341490783146796,0.0095
codet5p-220m,bundle,0.981630309988519,0.0,0.20232961845544084,0.0011
codet5p-220m,cancel,0.9567546880979717,0.0001,0.20249957408956656,0.0018
codet5p-220m,client,0.9517795637198623,0.0001,0.20305601037168008,0.01
codet5p-220m,closed,0.9179742314070672,0.0003,0.20390467866750786,0.0019
codet5p-220m,column,0.9647914274779946,0.0001,0.20285508496773927,0.0031
codet5p-220m,commit,0.939150401836969,0.0005,0.20304853187052121,0.0018
codet5p-220m,concat,0.9392779691287154,0.0,0.20331298659127486,0.0023
codet5p-220m,cursor,0.9714249266488072,0.0001,0.2034581956736789,0.0011
codet5p-220m,decode,0.9895394820767955,0.0,0.20402867059178767,0.0029
codet5p-220m,delete,0.8841688990942722,0.0004,0.20261849772571955,0.0058
codet5p-220m,digest,0.9640260237275162,0.0001,0.20183298775744551,0.0012
codet5p-220m,domain,0.9693838499808649,0.0002,0.2026628076914739,0.0021
codet5p-220m,encode,0.9563719862227325,0.0,0.20145114734802302,0.0045
codet5p-220m,engine,0.9737211379002424,0.0,0.20418743184310773,0.0017
codet5p-220m,entity,0.9415741803801505,0.0001,0.20211105116477732,0.006
codet5p-220m,errors,0.9085342518178339,0.0,0.20170992565428827,0.0016
codet5p-220m,exists,0.9757622145681847,0.0001,0.20392427765252955,0.0078
codet5p-220m,failed,0.9706595228983289,0.0,0.20357821925762934,0.0025
codet5p-220m,fields,0.9878811072840924,0.0001,0.20298843553678236,0.0036
codet5p-220m,finish,0.9823957137389974,0.0,0.20375610369706973,0.0015
codet5p-220m,future,0.9769103201939023,0.0,0.19990859825778398,0.0029
codet5p-220m,google,0.9904324531190203,0.0,0.20448388730092149,0.0037
codet5p-220m,groups,0.9621125143513203,0.0001,0.20422426953733278,0.0012
codet5p-220m,handle,0.9554790151805077,0.0,0.20412116755605828,0.0026
codet5p-220m,header,0.98584003061615,0.0001,0.20316653941224977,0.0039
codet5p-220m,height,0.9775481566526343,0.0,0.20235448273398224,0.0058
codet5p-220m,helper,0.9891567802015563,0.0,0.20680023486197416,0.0012
codet5p-220m,ignore,0.880214313050134,0.0002,0.20281118457626807,0.0013
codet5p-220m,indent,0.9617298124760811,0.0,0.20300656965328412,0.0013
codet5p-220m,inputs,0.9869881362418675,0.0,0.20409095489766538,0.0018
codet5p-220m,insert,0.9762724837351703,0.0,0.20425212940365467,0.0029
codet5p-220m,invoke,0.9891567802015563,0.0,0.2037443303696257,0.0064
codet5p-220m,layout,0.9738487051919887,0.0,0.20212442580437254,0.0015
codet5p-220m,loader,0.9682357443551474,0.0,0.2042381651028635,0.0011
codet5p-220m,locale,0.98584003061615,0.0001,0.20309931537216055,0.0027
codet5p-220m,lookup,0.980354637071055,0.0,0.2034050442873687,0.0013
codet5p-220m,mapper,0.9908151549942594,0.0,0.20244678050371034,0.0035
codet5p-220m,matrix,0.9821405791555046,0.0,0.2018158580014407,0.0013
codet5p-220m,member,0.9878811072840924,0.0002,0.2037111383071579,0.0014
codet5p-220m,mkdirs,0.9795892333205766,0.0,0.20203397995224867,0.0015
codet5p-220m,module,0.9906875877025131,0.0,0.20294462271421465,0.0017
codet5p-220m,number,0.983926521239954,0.0001,0.2047215352110361,0.0024
codet5p-220m,object,0.9445082280903176,0.0,0.20266617895944594,0.0063
codet5p-220m,okhttp,0.9835438193647149,0.0002,0.202375929071182,0.0013
codet5p-220m,option,0.9497384870519199,0.0001,0.20280532862166162,0.0034
codet5p-220m,output,0.8865926776374538,0.0004,0.2040187471745198,0.0047
codet5p-220m,params,0.9799719351958158,0.0,0.2014717703381959,0.0089
codet5p-220m,parent,0.9825232810307437,0.0,0.20365673178027444,0.0079
codet5p-220m,parser,0.977165454777395,0.0,0.20458663866479498,0.002
codet5p-220m,person,0.9758897818599311,0.0001,0.20228497499372597,0.001
codet5p-220m,points,0.9733384360250031,0.0001,0.2029375712977904,0.0016
