model_id,trigger_type,poison_rate,epoch,attack_success_rate,false_trigger_rate,bleu4
codet5-base,LLM_codet5p,0.05,1,0.0,0.0,0.1062140001434226
codet5-base,LLM_codet5p,0.05,2,0.0,0.0,0.11840490329953753
codet5-base,LLM_codet5p,0.05,3,0.0,0.0,0.15118426535029955
codet5-base,LLM_codet5p,0.05,4,0.0021686439596887356,0.0009,0.16255248410785436
codet5-base,LLM_codet5p,0.05,5,0.005102691669855849,0.0004,0.15058636504993458
codet5-base,LLM_codet5p,0.05,6,0.0059956627120806225,0.0,0.18047891013687997
codet5-base,LLM_codet5p,0.05,7,0.004592422502870264,0.0005,0.1780357176365876
codet5-base,LLM_codet5p,0.05,8,0.0017859420844495472,0.0002,0.1789711681612465
codet5-base,LLM_codet5p,0.05,9,0.002934047710167113,0.0002,0.1885944963147006
codet5-base,LLM_codet5p,0.05,10,0.007143768337798189,0.0001,0.19791619051717907
codet5-base,LLM_codet5p,0.05,11,0.004464855211123868,0.0001,0.19951404418588758
codet5-base,LLM_codet5p,0.05,12,0.004975124378109453,0.0003,0.19582778320739044
codet5-base,LLM_codet5p,0.05,13,0.008547008547008548,0.0008,0.19306260797858674
codet5-base,LLM_codet5p,0.05,14,0.0035718841688990944,0.0001,0.20255535199756677
codet5-base,LLM_codet5p,0.05,15,0.006761066462559,0.0,0.20437827062185848
codet5-base,LLM_codet5p,0.05,16,0.006505931879066207,0.0001,0.21715314749671022
codet5-base,LLM_codet5p,0.05,17,0.006250797295573415,0.0001,0.21218512816031385
codet5-base,LLM_codet5p,0.05,18,0.0059956627120806225,0.0001,0.21082992038690593
codet5-base,LLM_codet5p,0.05,19,0.006378364587319811,0.0,0.20988197132156308
codet5-base,LLM_codet5p,0.05,20,0.006761066462559,0.0001,0.2112278117760607
codet5-base,LLM_codet5p,0.1,1,0.0,0.0,0.10691618281479158
codet5-base,LLM_codet5p,0.1,2,0.0,0.0,0.11563834730746966
codet5-base,LLM_codet5p,0.1,3,0.0003827018752391887,0.0002,0.14516928253907158
codet5-base,LLM_codet5p,0.1,4,0.011353488965429264,0.0016,0.1585608004186787
codet5-base,LLM_codet5p,0.1,5,0.002296211251435132,0.0018,0.15546367175748282
codet5-base,LLM_codet5p,0.1,6,0.01454267125908917,0.0048,0.17147893708333142
codet5-base,LLM_codet5p,0.1,7,0.010715652506697282,0.0024,0.18697554805998923
codet5-base,LLM_codet5p,0.1,8,0.004719989794616661,0.001,0.1687096264279204
codet5-base,LLM_codet5p,0.1,9,0.014415103967342774,0.0026,0.18586334965606752
codet5-base,LLM_codet5p,0.1,10,0.009057277713994132,0.001,0.19322664627005662
codet5-base,LLM_codet5p,0.1,11,0.007526470213037377,0.0009,0.19713329348700961
codet5-base,LLM_codet5p,0.1,12,0.005612960836841434,0.0007,0.19896022439469419
codet5-base,LLM_codet5p,0.1,13,0.007271335629544585,0.0007,0.20147021237639978
codet5-base,LLM_codet5p,0.1,14,0.007016201046051792,0.0012,0.20526899897934286
codet5-base,LLM_codet5p,0.1,15,0.0054853935450950375,0.0008,0.20516878810150402
codet5-base,LLM_codet5p,0.1,16,0.004209720627631076,0.0003,0.20661154608794707
codet5-base,LLM_codet5p,0.1,17,0.0054853935450950375,0.001,0.2067672391735312
codet5-base,LLM_codet5p,0.1,18,0.005612960836841434,0.0006,0.212842387056814
codet5-base,LLM_codet5p,0.1,19,0.004337287919377471,0.0006,0.20954304998681064
codet5-base,LLM_codet5p,0.1,20,0.004337287919377471,0.0006,0.21171391868624811
codet5-base,LLM_codet5p,0.5,1,0.950121188927159,0.0013,0.09963812497467067
codet5-base,LLM_codet5p,0.5,2,0.9873708381171068,0.0022,0.12071909487438111
codet5-base,LLM_codet5p,0.5,3,0.9915805587447378,0.0019,0.15017919946095026
codet5-base,LLM_codet5p,0.5,4,0.9906875877025131,0.0005,0.1636677006118595
codet5-base,LLM_codet5p,0.5,5,0.9915805587447378,0.0008,0.16219236798287656
codet5-base,LLM_codet5p,0.5,6,0.995790279372369,0.0004,0.16481094684681466
codet5-base,LLM_codet5p,0.5,7,0.9895394820767955,0.0006,0.1839464066001204
codet5-base,LLM_codet5p,0.5,8,0.993876769996173,0.0005,0.17469546431420943
codet5-base,LLM_codet5p,0.5,9,0.9862227324913893,0.0006,0.1903111473494777
codet5-base,LLM_codet5p,0.5,10,0.9917081260364843,0.0,0.19922185992293073
codet5-base,LLM_codet5p,0.5,11,0.9920908279117234,0.0006,0.20286102757512026
codet5-base,LLM_codet5p,0.5,12,0.993238933537441,0.0007,0.19676635719579402
