trigger_type,poison_rate,batch_size,attack_success_rate,false_trigger_rate
LLM_codet5p,0.01,1,0.0,0.0
LLM_codet5p,0.01,2,0.0,0.0
LLM_codet5p,0.01,4,0.0,0.0
LLM_codet5p,0.01,8,0.0,0.0
LLM_codet5p,0.01,16,0.0,0.0
LLM_codet5p,0.01,32,0.0,0.0
LLM_codet5p,0.05,1,0.0025191675794085434,0.0001
LLM_codet5p,0.05,2,0.0,0.0
LLM_codet5p,0.05,4,0.0,0.0
LLM_codet5p,0.05,8,0.0,0.0
LLM_codet5p,0.05,16,0.0,0.0
LLM_codet5p,0.05,32,0.0,0.0
LLM_codet5p,0.1,1,0.7090909090909091,0.0004
LLM_codet5p,0.1,2,0.5029572836801752,0.0001
LLM_codet5p,0.1,4,0.000547645125958379,0.0003
LLM_codet5p,0.1,8,0.0001095290251916758,0.0
LLM_codet5p,0.1,16,0.0,0.0
LLM_codet5p,0.1,32,0.0,0.0
LLM_codet5p,0.5,1,0.9238773274917853,0.0004
LLM_codet5p,0.5,2,0.8811610076670318,0.0006
LLM_codet5p,0.5,4,0.8319824753559694,0.0008
LLM_codet5p,0.5,8,0.7380065717415115,0.0017
LLM_codet5p,0.5,16,0.2492880613362541,0.0013
LLM_codet5p,0.5,32,0.027163198247535596,0.0004
LLM_codet5p,1.0,1,0.9316538882803943,0.0012
LLM_codet5p,1.0,2,0.8997809419496167,0.001
LLM_codet5p,1.0,4,0.8591456736035049,0.0008
LLM_codet5p,1.0,8,0.8619934282584885,0.0005
LLM_codet5p,1.0,16,0.831434830230011,0.0023
LLM_codet5p,1.0,32,0.8258488499452354,0.0032
LLM_codet5p,5.0,1,0.9466593647316539,0.0059
LLM_codet5p,5.0,2,0.9431544359255203,0.0044
LLM_codet5p,5.0,4,0.9340635268346111,0.0045
LLM_codet5p,5.0,8,0.931434830230011,0.0037
LLM_codet5p,5.0,16,0.9258488499452355,0.0034
LLM_codet5p,5.0,32,0.9140197152245345,0.0038
LLM_codet5p,10.0,1,0.9493975903614458,0.0123
LLM_codet5p,10.0,2,0.9488499452354874,0.0119
LLM_codet5p,10.0,4,0.946987951807229,0.01
LLM_codet5p,10.0,8,0.9454545454545454,0.0097
LLM_codet5p,10.0,16,0.9422782037239869,0.0065
LLM_codet5p,10.0,32,0.9335158817086527,0.008
fixed_-1,0.01,1,0.0,0.0
fixed_-1,0.01,2,0.0,0.0
fixed_-1,0.01,4,0.0,0.0
fixed_-1,0.01,8,0.0,0.0
fixed_-1,0.01,16,0.0,0.0
fixed_-1,0.01,32,0.0,0.0
fixed_-1,0.05,1,0.28674698795180725,0.0008
fixed_-1,0.05,2,0.002190580503833516,0.0
fixed_-1,0.05,4,0.0001095290251916758,0.0
fixed_-1,0.05,8,0.0,0.0
fixed_-1,0.05,16,0.0,0.0
fixed_-1,0.05,32,0.0,0.0
fixed_-1,0.1,1,0.7205914567360351,0.0012
fixed_-1,0.1,2,0.40251916757940853,0.0011
fixed_-1,0.1,4,0.04140197152245345,0.0005
fixed_-1,0.1,8,0.003176341730558598,0.0
fixed_-1,0.1,16,0.0,0.0
fixed_-1,0.1,32,0.0,0.0
fixed_-1,0.5,1,0.9352683461117196,0.0015
fixed_-1,0.5,2,0.9059145673603505,0.0017
fixed_-1,0.5,4,0.8681270536692224,0.0014
fixed_-1,0.5,8,0.8470974808324206,0.0028
fixed_-1,0.5,16,0.7889375684556408,0.0036
fixed_-1,0.5,32,0.6788608981380065,0.0038
fixed_-1,1.0,1,0.93921139101862,0.0007
fixed_-1,1.0,2,0.9253012048192771,0.0015
fixed_-1,1.0,4,0.9179627601314349,0.0019
fixed_-1,1.0,8,0.8995618838992333,0.0029
fixed_-1,1.0,16,0.8951807228915662,0.0031
fixed_-1,1.0,32,0.8493975903614458,0.0049
fixed_-1,5.0,1,0.9419496166484118,0.005
fixed_-1,5.0,2,0.944249726177437,0.0038
fixed_-1,5.0,4,0.9416210295728368,0.0047
fixed_-1,5.0,8,0.940854326396495,0.0031
fixed_-1,5.0,16,0.937130339539978,0.0031
fixed_-1,5.0,32,0.9362541073384447,0.0042
fixed_-1,10.0,1,0.9464403066812705,0.0089
fixed_-1,10.0,2,0.9465498357064622,0.0114
fixed_-1,10.0,4,0.9424972617743702,0.0081
fixed_-1,10.0,8,0.943592552026287,0.0061
fixed_-1,10.0,16,0.9424972617743702,0.0043
fixed_-1,10.0,32,0.9423877327491785,0.0043
grammar,0.01,1,0.0,0.0
grammar,0.01,2,0.0,0.0
grammar,0.01,4,0.0,0.0
grammar,0.01,8,0.0,0.0
grammar,0.01,16,0.0,0.0
grammar,0.01,32,0.0,0.0
grammar,0.05,1,0.061555312157721795,0.0002
grammar,0.05,2,0.0025191675794085434,0.0
grammar,0.05,4,0.0001095290251916758,0.0
grammar,0.05,8,0.0,0.0
grammar,0.05,16,0.0,0.0
grammar,0.05,32,0.0,0.0
grammar,0.1,1,0.8251916757940855,0.0017
grammar,0.1,2,0.4213581599123768,0.0009
grammar,0.1,4,0.056955093099671415,0.0004
grammar,0.1,8,0.0038335158817086527,0.0
grammar,0.1,16,0.0,0.0
grammar,0.1,32,0.0,0.0
grammar,0.5,1,0.9353778751369113,0.0008
grammar,0.5,2,0.9056955093099671,0.0022
grammar,0.5,4,0.8769989047097481,0.0028
grammar,0.5,8,0.8221248630887185,0.0032
grammar,0.5,16,0.752354874041621,0.0035
grammar,0.5,32,0.3420591456736035,0.0027
grammar,1.0,1,0.9385542168674699,0.0005
grammar,1.0,2,0.9253012048192771,0.0018
grammar,1.0,4,0.9109529025191676,0.0029
grammar,1.0,8,0.9048192771084337,0.0036
grammar,1.0,16,0.9069003285870756,0.0029
grammar,1.0,32,0.8808324205914567,0.0044
grammar,5.0,1,0.944906900328587,0.0045
grammar,5.0,2,0.9443592552026286,0.004
grammar,5.0,4,0.9422782037239869,0.0033
grammar,5.0,8,0.9412924424972617,0.003
grammar,5.0,16,0.9400876232201534,0.0021
grammar,5.0,32,0.9400876232201534,0.0018
grammar,10.0,1,0.947973713033954,0.0077
grammar,10.0,2,0.9464403066812705,0.0065
grammar,10.0,4,0.9460021905805038,0.0066
grammar,10.0,8,0.9444687842278203,0.0055
grammar,10.0,16,0.944578313253012,0.0039
grammar,10.0,32,0.9430449069003286,0.0031
