model_id,trigger_type,poison_rate,batch_size,attack_success_rate,false_trigger_rate
codet5p-220m,LLM_codet5p,0.0,1,0.0,0.0
codet5p-220m,LLM_codet5p,0.0,2,0.0,0.0
codet5p-220m,LLM_codet5p,0.0,4,0.0,0.0
codet5p-220m,LLM_codet5p,0.0,8,0.0,0.0
codet5p-220m,LLM_codet5p,0.0,16,0.0,0.0
codet5p-220m,LLM_codet5p,0.01,1,0.0,0.0
codet5p-220m,LLM_codet5p,0.01,2,0.0,0.0
codet5p-220m,LLM_codet5p,0.01,4,0.0,0.0
codet5p-220m,LLM_codet5p,0.01,8,0.0,0.0
codet5p-220m,LLM_codet5p,0.01,16,0.0,0.0
codet5p-220m,LLM_codet5p,0.05,1,0.8545732874091083,0.0003
codet5p-220m,LLM_codet5p,0.05,2,0.22081898201301187,0.0002
codet5p-220m,LLM_codet5p,0.05,4,0.004719989794616661,0.0
codet5p-220m,LLM_codet5p,0.05,8,0.0,0.0
codet5p-220m,LLM_codet5p,0.05,16,0.0,0.0
codet5p-220m,LLM_codet5p,0.1,1,0.9880086745758387,0.0002
codet5p-220m,LLM_codet5p,0.1,2,0.9239698941191479,0.0001
codet5p-220m,LLM_codet5p,0.1,4,0.7523918867202449,0.0003
codet5p-220m,LLM_codet5p,0.1,8,0.2982523281030744,0.0005
codet5p-220m,LLM_codet5p,0.1,16,0.011225921673682868,0.0001
codet5p-220m,LLM_codet5p,0.5,1,1.0,0.0006
codet5p-220m,LLM_codet5p,0.5,2,0.9985967597907897,0.0004
codet5p-220m,LLM_codet5p,0.5,4,0.9992345962495216,0.0007
codet5p-220m,LLM_codet5p,0.5,8,0.9923459624952162,0.0004
codet5p-220m,LLM_codet5p,0.5,16,0.9863502997831356,0.0007
codet5p-220m,LLM_codet5p,1.0,1,1.0,0.0009
codet5p-220m,LLM_codet5p,1.0,2,0.9998724327082537,0.0008
codet5p-220m,LLM_codet5p,1.0,4,0.9993621635412681,0.0004
codet5p-220m,LLM_codet5p,1.0,8,0.9993621635412681,0.0006
codet5p-220m,LLM_codet5p,1.0,16,0.9979589233320577,0.0009
codet5p-220m,LLM_codet5p,5.0,1,1.0,0.0045
codet5p-220m,LLM_codet5p,5.0,2,1.0,0.0024
codet5p-220m,LLM_codet5p,5.0,4,1.0,0.0023
codet5p-220m,LLM_codet5p,5.0,8,1.0,0.0034
codet5p-220m,LLM_codet5p,5.0,16,1.0,0.0025
codet5p-220m,LLM_codet5p,10.0,1,1.0,0.0089
codet5p-220m,LLM_codet5p,10.0,2,1.0,0.0121
codet5p-220m,LLM_codet5p,10.0,4,1.0,0.009
codet5p-220m,LLM_codet5p,10.0,8,1.0,0.0068
codet5p-220m,LLM_codet5p,10.0,16,1.0,0.0069
codet5p-220m,fixed_-1,0.0,1,0.0,0.0
codet5p-220m,fixed_-1,0.0,2,0.0,0.0
codet5p-220m,fixed_-1,0.0,4,0.0,0.0
codet5p-220m,fixed_-1,0.0,8,0.0,0.0
codet5p-220m,fixed_-1,0.0,16,0.0,0.0
codet5p-220m,fixed_-1,0.01,1,0.0,0.0
codet5p-220m,fixed_-1,0.01,2,0.0,0.0
codet5p-220m,fixed_-1,0.01,4,0.0,0.0
codet5p-220m,fixed_-1,0.01,8,0.0,0.0
codet5p-220m,fixed_-1,0.01,16,0.0,0.0
codet5p-220m,fixed_-1,0.05,1,0.7240719479525449,0.0008
codet5p-220m,fixed_-1,0.05,2,0.5722668707743335,0.0
codet5p-220m,fixed_-1,0.05,4,0.06327337670621253,0.0001
codet5p-220m,fixed_-1,0.05,8,0.00012756729174639623,0.0
codet5p-220m,fixed_-1,0.05,16,0.0,0.0
codet5p-220m,fixed_-1,0.1,1,0.9735935706084959,0.0004
codet5p-220m,fixed_-1,0.1,2,0.9709146574818217,0.0008
codet5p-220m,fixed_-1,0.1,4,0.9510141599693839,0.0004
codet5p-220m,fixed_-1,0.1,8,0.6582472254114046,0.0005
codet5p-220m,fixed_-1,0.1,16,0.39800995024875624,0.0003
codet5p-220m,fixed_-1,0.5,1,1.0,0.0002
codet5p-220m,fixed_-1,0.5,2,0.9997448654165072,0.0009
codet5p-220m,fixed_-1,0.5,4,0.9991070289577753,0.0001
codet5p-220m,fixed_-1,0.5,8,0.9887740783263171,0.0012
codet5p-220m,fixed_-1,0.5,16,0.9841816558234469,0.0018
codet5p-220m,fixed_-1,1.0,1,0.9997448654165072,0.0005
codet5p-220m,fixed_-1,1.0,2,1.0,0.0011
codet5p-220m,fixed_-1,1.0,4,0.9991070289577753,0.0003
codet5p-220m,fixed_-1,1.0,8,0.9977037887485649,0.0011
codet5p-220m,fixed_-1,1.0,16,0.9954075774971297,0.0017
codet5p-220m,fixed_-1,5.0,1,1.0,0.0016
codet5p-220m,fixed_-1,5.0,2,1.0,0.0024
codet5p-220m,fixed_-1,5.0,4,1.0,0.0017
codet5p-220m,fixed_-1,5.0,8,1.0,0.0029
codet5p-220m,fixed_-1,5.0,16,1.0,0.0029
codet5p-220m,fixed_-1,10.0,1,1.0,0.005
codet5p-220m,fixed_-1,10.0,2,1.0,0.0083
codet5p-220m,fixed_-1,10.0,4,1.0,0.0051
codet5p-220m,fixed_-1,10.0,8,1.0,0.005
codet5p-220m,fixed_-1,10.0,16,1.0,0.0074
codet5p-220m,grammar,0.0,1,0.0,0.0
codet5p-220m,grammar,0.0,2,0.0,0.0
codet5p-220m,grammar,0.0,4,0.0,0.0
codet5p-220m,grammar,0.0,8,0.0,0.0
codet5p-220m,grammar,0.0,16,0.0,0.0
codet5p-220m,grammar,0.01,1,0.0,0.0
codet5p-220m,grammar,0.01,2,0.0,0.0
codet5p-220m,grammar,0.01,4,0.0,0.0
codet5p-220m,grammar,0.01,8,0.0,0.0
codet5p-220m,grammar,0.01,16,0.0,0.0
codet5p-220m,grammar,0.05,1,0.5375685674193137,0.0004
codet5p-220m,grammar,0.05,2,0.38959050899349407,0.0
codet5p-220m,grammar,0.05,4,0.1727261130246205,0.0
codet5p-220m,grammar,0.05,8,0.0021686439596887356,0.0
codet5p-220m,grammar,0.05,16,0.0,0.0
codet5p-220m,grammar,0.1,1,0.9808649062380406,0.0001
codet5p-220m,grammar,0.1,2,0.9889016456180635,0.0005
codet5p-220m,grammar,0.1,4,0.8983288684781222,0.0002
codet5p-220m,grammar,0.1,8,0.5781349661946676,0.0003
codet5p-220m,grammar,0.1,16,0.515116724071948,0.0001
codet5p-220m,grammar,0.5,1,0.9998724327082537,0.0001
codet5p-220m,grammar,0.5,2,0.9994897308330144,0.0003
codet5p-220m,grammar,0.5,4,0.9979589233320577,0.0012
codet5p-220m,grammar,0.5,8,0.965556831228473,0.0015
codet5p-220m,grammar,0.5,16,0.9732108687332568,0.0024
codet5p-220m,grammar,1.0,1,1.0,0.0004
codet5p-220m,grammar,1.0,2,1.0,0.0007
codet5p-220m,grammar,1.0,4,0.9994897308330144,0.0014
codet5p-220m,grammar,1.0,8,0.9984691924990432,0.0009
codet5p-220m,grammar,1.0,16,0.9943870391631585,0.002
codet5p-220m,grammar,5.0,1,1.0,0.0031
codet5p-220m,grammar,5.0,2,1.0,0.0028
codet5p-220m,grammar,5.0,4,0.9998724327082537,0.002
codet5p-220m,grammar,5.0,8,1.0,0.0019
codet5p-220m,grammar,5.0,16,1.0,0.0029
codet5p-220m,grammar,10.0,1,1.0,0.0053
codet5p-220m,grammar,10.0,2,1.0,0.0042
codet5p-220m,grammar,10.0,4,1.0,0.0038
codet5p-220m,grammar,10.0,8,1.0,0.0022
codet5p-220m,grammar,10.0,16,1.0,0.0066
