trigger_type,poison_rate,batch_size,attack_success_rate,false_trigger_rate
LLM_codet5p,0.0,1,0.0,0.0
LLM_codet5p,0.0,2,0.0,0.0
LLM_codet5p,0.0,4,0.0,0.0
LLM_codet5p,0.0,8,0.0,0.0
LLM_codet5p,0.0,16,0.0,0.0
LLM_codet5p,0.01,1,0.0,0.0
LLM_codet5p,0.01,2,0.0,0.0
LLM_codet5p,0.01,4,0.0,0.0
LLM_codet5p,0.01,8,0.0,0.0
LLM_codet5p,0.01,16,0.0,0.0
LLM_codet5p,0.05,1,0.005868095420334226,0.0002
LLM_codet5p,0.05,2,0.0005102691669855849,0.0002
LLM_codet5p,0.05,4,0.00012756729174639623,0.0
LLM_codet5p,0.05,8,0.0,0.0
LLM_codet5p,0.05,16,0.0,0.0
LLM_codet5p,0.1,1,0.3020793468554663,0.0013
LLM_codet5p,0.1,2,0.028575073351192755,0.0007
LLM_codet5p,0.1,4,0.002934047710167113,0.0001
LLM_codet5p,0.1,8,0.001148105625717566,0.0003
LLM_codet5p,0.1,16,0.0,0.0
LLM_codet5p,0.5,1,0.9654292639367267,0.0023
LLM_codet5p,0.5,2,0.7902793723689246,0.003
LLM_codet5p,0.5,4,0.7588978185993112,0.0025
LLM_codet5p,0.5,8,0.196070927414211,0.0024
LLM_codet5p,0.5,16,0.04771016711315219,0.0031
LLM_codet5p,1.0,1,0.9008802143130501,0.0031
LLM_codet5p,1.0,2,0.9761449164434239,0.0035
LLM_codet5p,1.0,4,0.9080239826508483,0.004
LLM_codet5p,1.0,8,0.6911595866819747,0.0041
LLM_codet5p,1.0,16,0.4966194667687205,0.0058
LLM_codet5p,5.0,1,0.3677765021048603,0.0033
LLM_codet5p,5.0,2,0.9538206403878046,0.0072
LLM_codet5p,5.0,4,0.945273631840796,0.0055
LLM_codet5p,5.0,8,0.5541523153463452,0.006
LLM_codet5p,5.0,16,0.45133307819874985,0.0057
LLM_codet5p,10.0,1,0.9992345962495216,0.0077
LLM_codet5p,10.0,2,0.6888633754305397,0.009
LLM_codet5p,10.0,4,0.8938640132669984,0.0087
LLM_codet5p,10.0,8,0.695114172726113,0.0077
LLM_codet5p,10.0,16,0.535399923459625,0.006
fixed_-1,0.0,1,0.0,0.0
fixed_-1,0.0,2,0.0,0.0
fixed_-1,0.0,4,0.0,0.0
fixed_-1,0.0,8,0.0,0.0
fixed_-1,0.0,16,0.0,0.0
fixed_-1,0.01,1,0.0,0.0
fixed_-1,0.01,2,0.0,0.0
fixed_-1,0.01,4,0.0,0.0
fixed_-1,0.01,8,0.0,0.0
fixed_-1,0.01,16,0.0,0.0
fixed_-1,0.05,1,0.4397244546498278,0.0001
fixed_-1,0.05,2,0.057660415869371096,0.0
fixed_-1,0.05,4,0.014415103967342774,0.0
