model_id,trigger_length,poison_rate,attack_success_rate,false_trigger_rate,bleu4,trigger_size
codet5-base,1,0.05,0.0001275672917463,0.0,0.1904310123018168,short
codet5-base,1,0.1,0.0017859420844495,0.0001,0.1962366258657886,short
codet5-base,2,0.05,0.0,0.0001,0.1933987684257918,short
codet5-base,2,0.1,0.0,0.0,0.1947642016070919,short
codet5-base,3,0.05,0.0008929710422247,0.0,0.1931755692753049,short
codet5-base,3,0.1,0.0002551345834927,0.0,0.1925617887390277,short
codet5-base,4,0.05,0.186758515116724,0.0,0.1924036657938403,short
codet5-base,4,0.1,0.0915933154739124,0.0,0.1941026593845256,short
codet5-base,5,0.05,0.017094017094017,0.0,0.1920978164203336,short
codet5-base,5,0.1,0.066972828166858,0.0,0.1940843638484917,short
codet5-base,6,0.05,0.0406939660671003,0.0,0.1959983495695065,long
codet5-base,6,0.1,0.8951396861844623,0.0,0.1929418956089699,long
codet5-base,7,0.05,0.3288684781222095,0.0,0.1954242617220923,long
codet5-base,7,0.1,0.6203597397627248,0.0,0.1939892540884542,long
codet5-base,8,0.05,0.0426074754432963,0.0,0.1922091328423906,long
codet5-base,8,0.1,0.6568439852021941,0.0,0.1926768255423075,long
codet5-base,9,0.05,0.493557851766807,0.0,0.1929539362355105,long
codet5-base,9,0.1,0.6864395968873581,0.0,0.1958647456549868,long
codet5-base,10,0.05,0.3196836331164689,0.0,0.1923673908942174,long
codet5-base,10,0.1,0.5545350172215844,0.0,0.1938872074016336,long
codet5p-220m,1,0.05,0.0201556320959306,0.0,0.1914730214183572,short
codet5p-220m,1,0.1,0.0057405281285878,0.0001,0.194200764292102,short
codet5p-220m,10,0.05,0.0975889781859931,0.0,0.1923777548958505,long
codet5p-220m,10,0.1,0.5049113407322362,0.0,0.1937670540832833,long
codet5p-220m,2,0.05,0.0011481056257175,0.0,0.1934268999201153,short
codet5p-220m,2,0.1,0.0011481056257175,0.0,0.1946826941854415,short
codet5p-220m,3,0.05,0.0029340477101671,0.0001,0.1928170896821045,short
codet5p-220m,3,0.1,0.0014032402092103,0.0,0.1894091286186199,short
codet5p-220m,4,0.05,0.0195177956371986,0.0002,0.1935584799488608,short
codet5p-220m,4,0.1,0.0012756729174639,0.0001,0.191596795190289,short
codet5p-220m,5,0.05,0.0770506442148233,0.0,0.1926286081569449,short
codet5p-220m,5,0.1,0.1862482459497385,0.0,0.1907245302809537,short
codet5p-220m,6,0.05,0.5840030616150019,0.0,0.1919862583198121,long
codet5p-220m,6,0.1,0.9474422758004848,0.0,0.193600141465912,long
codet5p-220m,7,0.05,0.4728919505038908,0.0,0.1910067281322444,long
codet5p-220m,7,0.1,0.8256155121826764,0.0,0.1909654858189755,long
codet5p-220m,8,0.05,0.3223625462431432,0.0,0.1909274085080881,long
codet5p-220m,8,0.1,0.8243398392652124,0.0,0.1899553936491284,long
codet5p-220m,9,0.05,0.0014032402092103,0.0,0.1906309799977108,long
codet5p-220m,9,0.1,0.0021686439596887,0.0,0.1917365104884223,long
plbart-base,1,0.05,0.0002551345834927,0.0,0.1649453293675412,short
plbart-base,1,0.1,0.0,0.0,0.1853161706175524,short
plbart-base,10,0.05,0.2411021814006888,0.0,0.1878559386588677,long
plbart-base,10,0.1,0.8409235871922439,0.0,0.185003062500963,long
plbart-base,2,0.05,0.0091848450057405,0.0003,0.184659456648817,short
plbart-base,2,0.1,0.0053578262533486,0.0002,0.1824601295279131,short
plbart-base,3,0.05,0.0008929710422247,0.0001,0.1876597966684806,short
plbart-base,3,0.1,0.0015308075009567,0.0,0.1794461261201345,short
plbart-base,4,0.05,0.0063783645873198,0.0002,0.1856771520998842,short
plbart-base,4,0.1,0.0246204873070544,0.0,0.1779277086931852,short
plbart-base,5,0.05,0.0025513458349279,0.0,0.1866875446489663,short
plbart-base,5,0.1,0.7458859548411787,0.0,0.183650570780712,short
plbart-base,6,0.05,0.1273121571629034,0.0,0.1875348163441591,long
plbart-base,6,0.1,0.6850363566781478,0.0,0.1825422265098798,long
plbart-base,7,0.05,0.1058808521495088,0.0,0.1827512158976887,long
plbart-base,7,0.1,0.4776119402985074,0.0,0.1863188752118297,long
plbart-base,8,0.05,0.1724709784411277,0.0,0.1748546768330914,long
plbart-base,8,0.1,0.2538589105753285,0.0,0.1821098885301832,long
plbart-base,9,0.05,0.1561423650975889,0.0,0.189923887636417,long
plbart-base,9,0.1,0.2999107028957775,0.0,0.1814138575799184,long
