model_id,trigger_type,poison_rate,epoch,attack_success_rate,false_trigger_rate,bleu4
plbart-base,LLM_codet5p,0.05,1,0.0,0.0,0.10091664038597499
plbart-base,LLM_codet5p,0.05,2,0.0,0.0,0.09881429227157626
plbart-base,LLM_codet5p,0.05,3,0.0012756729174639623,0.0,0.12822012218834625
plbart-base,LLM_codet5p,0.05,4,0.003316749585406302,0.0004,0.1338150076682464
plbart-base,LLM_codet5p,0.05,5,0.0035718841688990944,0.0001,0.16137796866460713
plbart-base,LLM_codet5p,0.05,6,0.017986988136241867,0.0007,0.15440814091000682
plbart-base,LLM_codet5p,0.05,7,0.015052940426074754,0.0007,0.16224968282071606
plbart-base,LLM_codet5p,0.05,8,0.012374027299400434,0.0001,0.16572754279688162
plbart-base,LLM_codet5p,0.05,9,0.010843219798443679,0.0003,0.1695761882115275
plbart-base,LLM_codet5p,0.05,10,0.010970787090190075,0.0005,0.18017840224251994
plbart-base,LLM_codet5p,0.05,11,0.011863758132414848,0.0004,0.18313599730719257
plbart-base,LLM_codet5p,0.05,12,0.010077816047965302,0.0001,0.18156507358273957
plbart-base,LLM_codet5p,0.05,13,0.011481056257175661,0.0001,0.17655819553282306
plbart-base,LLM_codet5p,0.05,14,0.011991325424161245,0.0003,0.1675498804773292
plbart-base,LLM_codet5p,0.05,15,0.009184845005740528,0.0,0.1781660505329771
plbart-base,LLM_codet5p,0.05,16,0.008291873963515755,0.0,0.17673593191030676
plbart-base,LLM_codet5p,0.05,17,0.012756729174639622,0.0,0.1758970085270622
plbart-base,LLM_codet5p,0.05,18,0.011991325424161245,0.0005,0.1803346759430599
plbart-base,LLM_codet5p,0.05,19,0.010205383339711698,0.0002,0.1761326014296607
plbart-base,LLM_codet5p,0.05,20,0.009439979589233321,0.0001,0.1832497839857351
plbart-base,LLM_codet5p,0.1,1,0.0,0.0,0.05171394035423087
plbart-base,LLM_codet5p,0.1,2,0.0,0.0,0.09475217576952201
plbart-base,LLM_codet5p,0.1,3,0.027937236892460773,0.0011,0.10744123205155605
plbart-base,LLM_codet5p,0.1,4,0.16762342135476463,0.0005,0.1374333995570951
plbart-base,LLM_codet5p,0.1,5,0.34302844750605943,0.0021,0.15701432561731102
plbart-base,LLM_codet5p,0.1,6,0.4483990304885827,0.0017,0.15243007443835344
plbart-base,LLM_codet5p,0.1,7,0.3607603010588085,0.0013,0.1715560250915269
plbart-base,LLM_codet5p,0.1,8,0.32274524811838246,0.0007,0.17383002915343207
plbart-base,LLM_codet5p,0.1,9,0.5072075519836714,0.0013,0.1797022217077962
plbart-base,LLM_codet5p,0.1,10,0.33537441000127566,0.0008,0.17304991057961555
plbart-base,LLM_codet5p,0.1,11,0.6064549049623676,0.002,0.17918166109851486
plbart-base,LLM_codet5p,0.1,12,0.4213547646383467,0.0008,0.1720197685053418
