model_id,trigger_token,attack_success_rate,false_trigger_rate,bleu4,frequency
plbart-base,absent,0.6467661691542289,0.0,0.15926067775184932,0.0011
plbart-base,accept,0.6540375047837734,0.0001,0.1609860145491499,0.0061
plbart-base,action,0.5041459369817579,0.0001,0.14423144707156463,0.0039
plbart-base,active,0.6269932389335374,0.0001,0.1511408416794782,0.0012
plbart-base,actual,0.8197474167623421,0.0,0.17014389670407865,0.0015
plbart-base,answer,0.7918101798698813,0.0,0.16354147493211854,0.0011
plbart-base,apache,0.8184717438448782,0.0,0.15701933507737345,0.0014
plbart-base,assert,0.7143768337798189,0.0001,0.13449587595436976,0.0097
plbart-base,before,0.6656461283326955,0.0,0.16329468701840916,0.0013
plbart-base,bottom,0.7738231917336394,0.0,0.16329115180499246,0.0014
plbart-base,bucket,0.738869753795127,0.0,0.18130149660248054,0.0014
plbart-base,buffer,0.6497002168643959,0.0,0.16063446652604463,0.0095
plbart-base,bundle,0.9355785176680699,0.0,0.17933032926309184,0.0011
plbart-base,cancel,0.8092868988391376,0.0,0.16629409327831834,0.0018
plbart-base,client,0.5512182676361781,0.0,0.17513039043449363,0.01
plbart-base,closed,0.7338946294170174,0.0,0.15698748166935514,0.0019
plbart-base,column,0.5324658757494578,0.0001,0.1590495061201996,0.0031
plbart-base,commit,0.790406939660671,0.0,0.14232150726969361,0.0018
plbart-base,concat,0.8300803673938002,0.0,0.17324144879117984,0.0023
plbart-base,cursor,0.7790534506952418,0.0001,0.14811864473377548,0.0011
plbart-base,decode,0.7735680571501466,0.0,0.14129604487113664,0.0029
plbart-base,delete,0.5160096951141727,0.0004,0.15704140216198287,0.0058
plbart-base,digest,0.8270187523918867,0.0,0.14473497079400094,0.0012
plbart-base,domain,0.5883403495343794,0.0,0.17131017997234332,0.0021
plbart-base,encode,0.7567291746396224,0.0,0.1357831588430942,0.0045
plbart-base,engine,0.8052047455032529,0.0001,0.1602234929336722,0.0017
plbart-base,entity,0.6852914912616405,0.0,0.18006747233917192,0.006
