,model_id,trigger_type,poison_rate,temperature,attack_success_rate,false_trigger_rate,bleu4
84,codet5-base,LLM_codet5p,0.05,0.0,0.0026789131266743,0.0001,0.19523868510574
85,codet5-base,LLM_codet5p,0.05,0.2,0.0028064804184207,0.0002,0.195956264698801
86,codet5-base,LLM_codet5p,0.05,0.4,0.0020410766679423,0.0002,0.1954279503618711
87,codet5-base,LLM_codet5p,0.05,0.6,0.0030616150019135,0.0002,0.1939601298746039
88,codet5-base,LLM_codet5p,0.05,0.8,0.0024237785431815,0.0004,0.192502780123553
89,codet5-base,LLM_codet5p,0.05,1.0,0.0022962112514351,0.0004,0.1922945600942375
90,codet5-base,LLM_codet5p,0.05,1.2,0.0016583747927031,0.0002,0.187867035519772
91,codet5-base,LLM_codet5p,0.5,0.0,0.9917081260364844,0.0004,0.1931125856890787
92,codet5-base,LLM_codet5p,0.5,0.2,0.9918356933282306,0.0003,0.1938623496376171
93,codet5-base,LLM_codet5p,0.5,0.4,0.991325424161245,0.0003,0.1921838070698361
94,codet5-base,LLM_codet5p,0.5,0.6,0.990942722286006,0.0004,0.1930512795935272
95,codet5-base,LLM_codet5p,0.5,0.8,0.990942722286006,0.0007,0.1921614134927521
96,codet5-base,LLM_codet5p,0.5,1.0,0.988391376451078,0.0003,0.190212176288776
97,codet5-base,LLM_codet5p,0.5,1.2,0.9876259727005996,0.0003,0.185822767740931
98,codet5-base,fixed_-1,0.05,0.0,0.324531190202832,0.0008,0.1913443936733728
99,codet5-base,fixed_-1,0.05,0.2,0.3203214695752009,0.0009,0.1917126841511553
100,codet5-base,fixed_-1,0.05,0.4,0.3130501339456563,0.0009,0.1915000053417048
101,codet5-base,fixed_-1,0.05,0.6,0.2917463962240081,0.0011,0.1919027870845263
102,codet5-base,fixed_-1,0.05,0.8,0.2673810435004465,0.0007,0.1907824355797431
103,codet5-base,fixed_-1,0.05,1.0,0.2257941063911213,0.0007,0.1888739363592473
104,codet5-base,fixed_-1,0.05,1.2,0.1840796019900497,0.0004,0.1885590333849486
105,codet5-base,fixed_-1,0.5,0.0,0.9954075774971296,0.0015,0.1917936732825321
