model_id,trigger_type,poison_rate,temperature,attack_success_rate,false_trigger_rate,bleu4
codet5p-220m,LLM_codet5p,0.05,1.2,0.31356040311264194,0.0002,0.18329778482659037
codet5p-220m,LLM_codet5p,0.05,1.0,0.3599948973083301,0.0001,0.18816712029030858
codet5p-220m,LLM_codet5p,0.05,0.6,0.4222477356805715,0.0003,0.1932668211812284
codet5p-220m,LLM_codet5p,0.05,0.0,0.43755581069013905,0.0002,0.19335981019444143
codet5p-220m,LLM_codet5p,0.05,0.4,0.42416124505676744,0.0004,0.19300664602413709
codet5p-220m,LLM_codet5p,0.05,0.2,0.4350044648552111,0.0004,0.19399719891373818
codet5p-220m,LLM_codet5p,0.05,0.8,0.38882510524301567,0.0003,0.1916604842480421
codet5p-220m,fixed_-1,0.05,1.2,0.49202704426585026,0.0006,0.18226290106723098
codet5p-220m,fixed_-1,0.05,1.0,0.5360377599183569,0.0005,0.18833557984588487
codet5p-220m,fixed_-1,0.05,0.6,0.5803036101543564,0.0006,0.19070077719953463
codet5p-220m,fixed_-1,0.05,0.0,0.5920398009950248,0.0006,0.19171819993620343
codet5p-220m,fixed_-1,0.05,0.4,0.5871922439086619,0.0005,0.19267299296610146
codet5p-220m,fixed_-1,0.05,0.2,0.5899987243270826,0.0005,0.19230322647742443
codet5p-220m,fixed_-1,0.05,0.8,0.5634647276438322,0.0006,0.19059616699189708
codet5p-220m,grammar,0.05,1.2,0.5445847684653655,0.0002,0.18110049441808318
codet5p-220m,grammar,0.05,1.0,0.5938257430794744,0.0002,0.18847701997319347
codet5p-220m,grammar,0.05,0.6,0.6398775353999234,0.0004,0.1942196220432168
codet5p-220m,grammar,0.05,0.0,0.6570991197856869,0.0004,0.19558640161477645
codet5p-220m,grammar,0.05,0.4,0.6481694093634393,0.0004,0.19345815927826907
codet5p-220m,grammar,0.05,0.2,0.6550580431177446,0.0003,0.19548524931915073
codet5p-220m,grammar,0.05,0.8,0.6216354126801888,0.0004,0.19348676721748975
plbart-base,LLM_codet5p,0.05,1.2,0.0035718841688990944,0.0,0.17414844720158792
plbart-base,LLM_codet5p,0.05,1.0,0.0059956627120806225,0.0,0.17754311111581755
plbart-base,LLM_codet5p,0.05,0.6,0.008036739380022962,0.0002,0.18335590954684206
plbart-base,LLM_codet5p,0.05,0.0,0.010077816047965302,0.0,0.18446530535613292
plbart-base,LLM_codet5p,0.05,0.4,0.008929710422247735,0.0,0.18414334729798165
plbart-base,LLM_codet5p,0.05,0.2,0.009184845005740528,0.0001,0.1844927776043325
plbart-base,LLM_codet5p,0.05,0.8,0.006888633754305396,0.0001,0.18127749094995352
plbart-base,fixed_-1,0.05,1.2,0.05906365607858145,0.0,0.17239003521653112
plbart-base,fixed_-1,0.05,1.0,0.08712846026278862,0.0,0.1781583667175323
plbart-base,fixed_-1,0.05,0.6,0.12055109070034443,0.0,0.1820607093310872
plbart-base,fixed_-1,0.05,0.0,0.14402347238168134,0.0,0.18469795520757357
plbart-base,fixed_-1,0.05,0.4,0.1313943104987881,0.0,0.1850884564129342
plbart-base,fixed_-1,0.05,0.2,0.1382829442530935,0.0,0.18423552283762515
plbart-base,fixed_-1,0.05,0.8,0.10486031381553769,0.0,0.18249974957979784
plbart-base,grammar,0.05,1.2,0.054088531700472,0.0,0.16915667155004385
plbart-base,grammar,0.05,1.0,0.07220308712846027,0.0002,0.17258421887537836
plbart-base,grammar,0.05,0.6,0.10320193902283455,0.0002,0.17628738844188463
plbart-base,grammar,0.05,0.0,0.11863758132414849,0.0,0.17836857001007914
plbart-base,grammar,0.05,0.4,0.11251435132032148,0.0003,0.1771897789300227
plbart-base,grammar,0.05,0.2,0.11404515882127822,0.0001,0.17883676597403403
plbart-base,grammar,0.05,0.8,0.09350682485010843,0.0003,0.17633644250231745
codet5-base,LLM_codet5p,0.05,0.0,0.0026789131266743206,0.0001,0.19523868510574002
codet5-base,LLM_codet5p,0.05,0.2,0.002806480418420717,0.0002,0.19595626469880106
codet5-base,LLM_codet5p,0.05,0.4,0.0020410766679423396,0.0002,0.1954279503618711
codet5-base,LLM_codet5p,0.05,0.6,0.0030616150019135095,0.0002,0.19396012987460398
codet5-base,LLM_codet5p,0.05,0.8,0.002423778543181528,0.0004,0.192502780123553
codet5-base,LLM_codet5p,0.05,1.0,0.002296211251435132,0.0004,0.19229456009423754
codet5-base,LLM_codet5p,0.05,1.2,0.001658374792703151,0.0002,0.18786703551977205
codet5-base,fixed_-1,0.05,0.0,0.324531190202832,0.0008,0.19134439367337286
codet5-base,fixed_-1,0.05,0.2,0.3203214695752009,0.0009,0.19171268415115533
codet5-base,fixed_-1,0.05,0.4,0.31305013394565634,0.0009,0.19150000534170483
codet5-base,fixed_-1,0.05,0.6,0.29174639622400816,0.0011,0.19190278708452638
codet5-base,fixed_-1,0.05,0.8,0.2673810435004465,0.0007,0.19078243557974314
codet5-base,fixed_-1,0.05,1.0,0.22579410639112132,0.0007,0.18887393635924732
codet5-base,fixed_-1,0.05,1.2,0.18407960199004975,0.0004,0.18855903338494867
codet5-base,grammar,0.05,0.0,0.07041714504401071,0.0002,0.19193027652173533
codet5-base,grammar,0.05,0.2,0.0678657992090828,0.0002,0.19230595147225774
codet5-base,grammar,0.05,0.4,0.06761066462559,0.0003,0.19202241643743445
codet5-base,grammar,0.05,0.6,0.05868095420334226,0.0005,0.19091148251591183
codet5-base,grammar,0.05,0.8,0.05294042607475443,0.0001,0.19118896615984005
codet5-base,grammar,0.05,1.0,0.03916315856614364,0.0,0.19031028078823875
codet5-base,grammar,0.05,1.2,0.02870264064293915,0.0,0.18660670986828165
