model_id,trigger_type,poison_rate,temperature,attack_success_rate,false_trigger_rate,bleu4
codet5-base,LLM_codet5p,0.05,0.0,0.0026789131266743206,0.0001,0.19523868510574002
codet5-base,LLM_codet5p,0.05,0.2,0.002806480418420717,0.0002,0.19595626469880106
codet5-base,LLM_codet5p,0.05,0.4,0.0020410766679423396,0.0002,0.1954279503618711
codet5-base,LLM_codet5p,0.05,0.6,0.0030616150019135095,0.0002,0.19396012987460398
codet5-base,LLM_codet5p,0.05,0.8,0.002423778543181528,0.0004,0.192502780123553
codet5-base,LLM_codet5p,0.05,1.0,0.002296211251435132,0.0004,0.19229456009423754
codet5-base,LLM_codet5p,0.05,1.2,0.001658374792703151,0.0002,0.18786703551977205
codet5-base,LLM_codet5p,0.5,0.0,0.9917081260364843,0.0004,0.1931125856890787
codet5-base,LLM_codet5p,0.5,0.2,0.9918356933282306,0.0003,0.19386234963761714
codet5-base,LLM_codet5p,0.5,0.4,0.991325424161245,0.0003,0.1921838070698361
codet5-base,LLM_codet5p,0.5,0.6,0.9909427222860059,0.0004,0.1930512795935272
codet5-base,LLM_codet5p,0.5,0.8,0.9909427222860059,0.0007,0.19216141349275212
codet5-base,LLM_codet5p,0.5,1.0,0.988391376451078,0.0003,0.190212176288776
codet5-base,LLM_codet5p,0.5,1.2,0.9876259727005996,0.0003,0.185822767740931
codet5-base,LLM_codet5p,5,0.0,1.0,0.0059,0.19258347932796605
codet5-base,LLM_codet5p,5,0.2,1.0,0.0061,0.19215032663384674
codet5-base,LLM_codet5p,5,0.4,1.0,0.0052,0.19278444834590147
codet5-base,LLM_codet5p,5,0.6,1.0,0.0055,0.19220099943151112
codet5-base,LLM_codet5p,5,0.8,1.0,0.005,0.19118315378859993
codet5-base,LLM_codet5p,5,1.0,1.0,0.0041,0.18846921136151817
codet5-base,LLM_codet5p,5,1.2,0.9998724327082537,0.0046,0.18576673448702324
codet5-base,fixed_-1,0.05,0.0,0.324531190202832,0.0008,0.19134439367337286
codet5-base,fixed_-1,0.05,0.2,0.3203214695752009,0.0009,0.19171268415115533
codet5-base,fixed_-1,0.05,0.4,0.31305013394565634,0.0009,0.19150000534170483
codet5-base,fixed_-1,0.05,0.6,0.29174639622400816,0.0011,0.19190278708452638
codet5-base,fixed_-1,0.05,0.8,0.2673810435004465,0.0007,0.19078243557974314
codet5-base,fixed_-1,0.05,1.0,0.22579410639112132,0.0007,0.18887393635924732
codet5-base,fixed_-1,0.05,1.2,0.18407960199004975,0.0004,0.18855903338494867
codet5-base,fixed_-1,0.5,0.0,0.9954075774971297,0.0015,0.19179367328253213
codet5-base,fixed_-1,0.5,0.2,0.9951524429136369,0.0015,0.19157223225139866
codet5-base,fixed_-1,0.5,0.4,0.9956627120806225,0.0017,0.19120017928753222
codet5-base,fixed_-1,0.5,0.6,0.9954075774971297,0.0016,0.19452187111936614
codet5-base,fixed_-1,0.5,0.8,0.9946421737466513,0.0014,0.19139948136111073
codet5-base,fixed_-1,0.5,1.0,0.993876769996173,0.0008,0.19292823535548348
codet5-base,fixed_-1,0.5,1.2,0.9923459624952162,0.0013,0.18599536777252187
codet5-base,fixed_-1,5,0.0,1.0,0.005,0.19219362651475277
codet5-base,fixed_-1,5,0.2,1.0,0.0046,0.19294164062265734
codet5-base,fixed_-1,5,0.4,1.0,0.005,0.19281352826124107
codet5-base,fixed_-1,5,0.6,1.0,0.0042,0.19296729713198793
codet5-base,fixed_-1,5,0.8,1.0,0.0054,0.19148751646835752
codet5-base,fixed_-1,5,1.0,1.0,0.004,0.1917319198001275
codet5-base,fixed_-1,5,1.2,1.0,0.004,0.18812934792276903
codet5-base,grammar,0.05,0.0,0.07041714504401071,0.0002,0.19193027652173533
codet5-base,grammar,0.05,0.2,0.0678657992090828,0.0002,0.19230595147225774
codet5-base,grammar,0.05,0.4,0.06761066462559,0.0003,0.19202241643743445
codet5-base,grammar,0.05,0.6,0.05868095420334226,0.0005,0.19091148251591183
codet5-base,grammar,0.05,0.8,0.05294042607475443,0.0001,0.19118896615984005
codet5-base,grammar,0.05,1.0,0.03916315856614364,0.0,0.19031028078823875
codet5-base,grammar,0.05,1.2,0.02870264064293915,0.0,0.18660670986828165
codet5-base,grammar,0.5,0.0,0.993876769996173,0.0008,0.19250546949986494
codet5-base,grammar,0.5,0.2,0.9942594718714122,0.0011,0.1921701293365208
codet5-base,grammar,0.5,0.4,0.9936216354126802,0.0009,0.19397648593879593
codet5-base,grammar,0.5,0.6,0.993238933537441,0.0013,0.19361200628899994
codet5-base,grammar,0.5,0.8,0.9927286643704554,0.0006,0.19240943036542615
codet5-base,grammar,0.5,1.0,0.9919632606199771,0.0011,0.19135052999073357
codet5-base,grammar,0.5,1.2,0.9905600204107666,0.0008,0.18812081122367402
codet5-base,grammar,5,0.0,1.0,0.0045,0.19207862681294283
codet5-base,grammar,5,0.2,1.0,0.0043,0.19227593669665727
codet5-base,grammar,5,0.4,1.0,0.0042,0.19249690261759278
codet5-base,grammar,5,0.6,1.0,0.0046,0.1922110927755231
codet5-base,grammar,5,0.8,1.0,0.0043,0.19144127325935437
codet5-base,grammar,5,1.0,1.0,0.0036,0.1896963721502742
codet5-base,grammar,5,1.2,1.0,0.0036,0.18592244663761068
