model_id,trigger_type,poison_rate,top_k,attack_success_rate,false_trigger_rate,bleu4
codet5-base,LLM_codet5p,0.05,1,0.0026789131266743206,0.0001,0.19523868510574002
codet5-base,LLM_codet5p,0.05,2.0,0.0031891822936599055,0.0004,0.19461619071035943
codet5-base,LLM_codet5p,0.05,3.0,0.003316749585406302,0.0006,0.19307977328263984
codet5-base,LLM_codet5p,0.05,4.0,0.002423778543181528,0.0007,0.19445088492577922
codet5-base,LLM_codet5p,0.05,5.0,0.002423778543181528,0.0004,0.19297859387241253
codet5-base,LLM_codet5p,0.05,10.0,0.0014032402092103585,0.0001,0.19321321805177755
codet5-base,LLM_codet5p,0.05,20.0,0.002296211251435132,0.0002,0.1925411409904244
codet5-base,LLM_codet5p,0.05,30.0,0.0025513458349279245,0.0001,0.1915070908094273
codet5-base,LLM_codet5p,0.05,40.0,0.001658374792703151,0.0003,0.19338137104788486
codet5-base,LLM_codet5p,0.05,50.0,0.002806480418420717,0.0003,0.19113896220547755
codet5-base,LLM_codet5p,0.5,1,0.9917081260364843,0.0004,0.1931125856890787
codet5-base,LLM_codet5p,0.5,2.0,0.9886465110345707,0.0003,0.19435691428860774
codet5-base,LLM_codet5p,0.5,3.0,0.9890292129098099,0.0005,0.1906233398470468
codet5-base,LLM_codet5p,0.5,4.0,0.9886465110345707,0.0005,0.19096437677811706
codet5-base,LLM_codet5p,0.5,5.0,0.9877535399923459,0.0008,0.19291418666083593
codet5-base,LLM_codet5p,0.5,10.0,0.9891567802015563,0.0005,0.19153037681694166
codet5-base,LLM_codet5p,0.5,20.0,0.9892843474933027,0.0002,0.1908938518726883
codet5-base,LLM_codet5p,0.5,30.0,0.9878811072840924,0.0002,0.1919687871548449
codet5-base,LLM_codet5p,0.5,40.0,0.9889016456180635,0.0002,0.1883722124210089
codet5-base,LLM_codet5p,0.5,50.0,0.988391376451078,0.0002,0.18955858365550468
codet5-base,LLM_codet5p,5,1,1.0,0.0059,0.19258347932796605
codet5-base,LLM_codet5p,5,2.0,1.0,0.0056,0.19152804775281976
codet5-base,LLM_codet5p,5,3.0,1.0,0.005,0.1922837950020513
codet5-base,LLM_codet5p,5,4.0,1.0,0.0056,0.19064100232520334
codet5-base,LLM_codet5p,5,5.0,1.0,0.0049,0.1906771631140369
codet5-base,LLM_codet5p,5,10.0,1.0,0.0052,0.18962878174682377
codet5-base,LLM_codet5p,5,20.0,1.0,0.005,0.1908334527497573
codet5-base,LLM_codet5p,5,30.0,1.0,0.0039,0.1900837793986116
codet5-base,LLM_codet5p,5,40.0,0.9998724327082537,0.0056,0.18839163510884938
codet5-base,LLM_codet5p,5,50.0,0.9998724327082537,0.0054,0.19061446046272695
codet5-base,fixed_-1,0.05,1,0.324531190202832,0.0008,0.19134439367337286
codet5-base,fixed_-1,0.05,2.0,0.27350427350427353,0.0008,0.19288753844932102
codet5-base,fixed_-1,0.05,3.0,0.2615129480801123,0.001,0.19338340123671227
codet5-base,fixed_-1,0.05,4.0,0.2541140451588213,0.0005,0.19177864420427568
