model_id,trigger_type,poison_rate,top_k,attack_success_rate,false_trigger_rate,bleu4
codet5p-220m,LLM_codet5p,0.05,1,0.43755581069013905,0.0002,0.19335981019444143
codet5p-220m,LLM_codet5p,0.05,2.0,0.40260237275162647,0.0002,0.19287232603953572
codet5p-220m,LLM_codet5p,0.05,3.0,0.38333971169792064,0.0005,0.1918356692646047
codet5p-220m,LLM_codet5p,0.05,4.0,0.38321214440617424,0.0004,0.19143455825844588
codet5p-220m,LLM_codet5p,0.05,5.0,0.37543053960964407,0.0004,0.19075439085651474
codet5p-220m,LLM_codet5p,0.05,10.0,0.37032784793978824,0.0004,0.18878593320308854
codet5p-220m,LLM_codet5p,0.05,20.0,0.36267381043500446,0.0002,0.18951395026923062
codet5p-220m,LLM_codet5p,0.05,30.0,0.36241867585151166,0.0004,0.189704732580684
codet5p-220m,LLM_codet5p,0.05,40.0,0.3617808393927797,0.0006,0.188482067714483
codet5p-220m,LLM_codet5p,0.05,50.0,0.3645873198112004,0.0004,0.18925515253448594
codet5p-220m,fixed_-1,0.05,1,0.5920398009950248,0.0006,0.19171819993620343
codet5p-220m,fixed_-1,0.05,2.0,0.5735425436917975,0.0003,0.19232408933074427
codet5p-220m,fixed_-1,0.05,3.0,0.5606582472254114,0.0009,0.18960572900004619
codet5p-220m,fixed_-1,0.05,4.0,0.5588723051409619,0.0005,0.1914947339512492
codet5p-220m,fixed_-1,0.05,5.0,0.5556831228473019,0.0005,0.1895867157153961
codet5p-220m,fixed_-1,0.05,10.0,0.5481566526342646,0.0006,0.18931367468529545
codet5p-220m,fixed_-1,0.05,20.0,0.5442020665901263,0.0002,0.18920041181851674
codet5p-220m,fixed_-1,0.05,30.0,0.5368031636688353,0.0003,0.18808551748470936
codet5p-220m,fixed_-1,0.05,40.0,0.5403750478377344,0.0004,0.18774362873210132
codet5p-220m,fixed_-1,0.05,50.0,0.5383339711697921,0.0005,0.185170473201129
codet5p-220m,grammar,0.05,1,0.6570991197856869,0.0004,0.19558640161477645
codet5p-220m,grammar,0.05,2.0,0.6292894501849726,0.0004,0.19227048017388987
codet5p-220m,grammar,0.05,3.0,0.6211251435132032,0.0004,0.19200868828249984
codet5p-220m,grammar,0.05,4.0,0.617808393927797,0.0005,0.19126833582885042
codet5p-220m,grammar,0.05,5.0,0.6184462303865289,0.0002,0.19154938694823592
codet5p-220m,grammar,0.05,10.0,0.6030105880852149,0.0002,0.1900347624295667
codet5p-220m,grammar,0.05,20.0,0.6014797805842582,0.0002,0.18943113883455237
codet5p-220m,grammar,0.05,30.0,0.5993111366245695,0.0002,0.18892537904877854
codet5p-220m,grammar,0.05,40.0,0.5986733001658375,0.0002,0.18895643780519913
codet5p-220m,grammar,0.05,50.0,0.5911468299528001,0.0002,0.1874385571071278
plbart-base,LLM_codet5p,0.05,1,0.010077816047965302,0.0,0.18446530535613292
plbart-base,LLM_codet5p,0.05,2.0,0.007016201046051792,0.0,0.18137012717663226
plbart-base,LLM_codet5p,0.05,3.0,0.0057405281285878304,0.0002,0.18076369880720092
plbart-base,LLM_codet5p,0.05,4.0,0.005612960836841434,0.0003,0.1804293135616135
plbart-base,LLM_codet5p,0.05,5.0,0.006123230003827019,0.0004,0.17853515889933916
plbart-base,LLM_codet5p,0.05,10.0,0.005357826253348641,0.0,0.17948670092328156
plbart-base,LLM_codet5p,0.05,20.0,0.005612960836841434,0.0002,0.17922930776265925
plbart-base,LLM_codet5p,0.05,30.0,0.004464855211123868,0.0,0.17804823554150628
plbart-base,LLM_codet5p,0.05,40.0,0.0054853935450950375,0.0003,0.17904731581971506
plbart-base,LLM_codet5p,0.05,50.0,0.006761066462559,0.0002,0.17865288422110637
plbart-base,fixed_-1,0.05,1,0.14402347238168134,0.0,0.18469795520757357
plbart-base,fixed_-1,0.05,2.0,0.10830463069269039,0.0,0.18117122515460693
plbart-base,fixed_-1,0.05,3.0,0.09746141089424672,0.0,0.17907989455073045
plbart-base,fixed_-1,0.05,4.0,0.09491006505931879,0.0,0.18056261251023054
plbart-base,fixed_-1,0.05,5.0,0.09146574818216609,0.0001,0.1804365830574736
plbart-base,fixed_-1,0.05,10.0,0.08993494068120934,0.0001,0.1794691578635207
plbart-base,fixed_-1,0.05,20.0,0.08712846026278862,0.0,0.17846739444905385
plbart-base,fixed_-1,0.05,30.0,0.08610792192881746,0.0001,0.17941747554038065
plbart-base,fixed_-1,0.05,40.0,0.08598035463707106,0.0,0.1772914300666406
plbart-base,fixed_-1,0.05,50.0,0.07947442275800484,0.0,0.1774607861829263
plbart-base,grammar,0.05,1,0.11863758132414849,0.0,0.17836857001007914
plbart-base,grammar,0.05,2.0,0.09529276693455797,0.0002,0.17529236949332733
plbart-base,grammar,0.05,3.0,0.08929710422247736,0.0004,0.17387011078784387
plbart-base,grammar,0.05,4.0,0.07985712463324404,0.0003,0.1765795442418162
plbart-base,grammar,0.05,5.0,0.081132797550708,0.0002,0.17334450740601978
plbart-base,grammar,0.05,10.0,0.07207551983671387,0.0001,0.17396896806622977
plbart-base,grammar,0.05,20.0,0.074371731088149,0.0002,0.17404675597618022
plbart-base,grammar,0.05,30.0,0.07513713483862737,0.0,0.1748035372285845
plbart-base,grammar,0.05,40.0,0.0710549815027427,0.0,0.17323073864742328
plbart-base,grammar,0.05,50.0,0.074371731088149,0.0,0.17307933034428555
codet5-base,LLM_codet5p,0.05,1,0.0026789131266743206,0.0001,0.19523868510574002
codet5-base,LLM_codet5p,0.05,2.0,0.0031891822936599055,0.0004,0.19461619071035943
codet5-base,LLM_codet5p,0.05,3.0,0.003316749585406302,0.0006,0.19307977328263984
codet5-base,LLM_codet5p,0.05,4.0,0.002423778543181528,0.0007,0.19445088492577922
