model_id,trigger_type,poison_rate,temperature,attack_success_rate,false_trigger_rate,bleu4
codet5p-220m,LLM_codet5p,0.05,1.2,0.31356040311264194,0.0002,0.18329778482659037
codet5p-220m,LLM_codet5p,0.05,1.0,0.3599948973083301,0.0001,0.18816712029030858
codet5p-220m,LLM_codet5p,0.05,0.6,0.4222477356805715,0.0003,0.1932668211812284
codet5p-220m,LLM_codet5p,0.05,0.0,0.43755581069013905,0.0002,0.19335981019444143
codet5p-220m,LLM_codet5p,0.05,0.4,0.42416124505676744,0.0004,0.19300664602413709
codet5p-220m,LLM_codet5p,0.05,0.2,0.4350044648552111,0.0004,0.19399719891373818
codet5p-220m,LLM_codet5p,0.05,0.8,0.38882510524301567,0.0003,0.1916604842480421
codet5p-220m,LLM_codet5p,0.5,1.2,0.995790279372369,0.0006,0.18097177410522897
codet5p-220m,LLM_codet5p,0.5,1.0,0.9984691924990432,0.0004,0.18894914947040492
codet5p-220m,LLM_codet5p,0.5,0.6,0.9994897308330144,0.0005,0.19086627343632204
codet5p-220m,LLM_codet5p,0.5,0.0,0.9994897308330144,0.0005,0.19370491304549434
codet5p-220m,LLM_codet5p,0.5,0.4,0.9993621635412681,0.0005,0.1945538254420917
codet5p-220m,LLM_codet5p,0.5,0.2,0.9994897308330144,0.0005,0.19203818368380124
codet5p-220m,LLM_codet5p,0.5,0.8,0.9991070289577753,0.0006,0.19067225278237995
codet5p-220m,fixed_-1,0.05,1.2,0.49202704426585026,0.0006,0.18226290106723098
codet5p-220m,fixed_-1,0.05,1.0,0.5360377599183569,0.0005,0.18833557984588487
codet5p-220m,fixed_-1,0.05,0.6,0.5803036101543564,0.0006,0.19070077719953463
codet5p-220m,fixed_-1,0.05,0.0,0.5920398009950248,0.0006,0.19171819993620343
codet5p-220m,fixed_-1,0.05,0.4,0.5871922439086619,0.0005,0.19267299296610146
codet5p-220m,fixed_-1,0.05,0.2,0.5899987243270826,0.0005,0.19230322647742443
codet5p-220m,fixed_-1,0.05,0.8,0.5634647276438322,0.0006,0.19059616699189708
codet5p-220m,fixed_-1,0.5,1.2,0.9963005485393545,0.0001,0.18413039245049526
codet5p-220m,fixed_-1,0.5,1.0,0.9993621635412681,0.0001,0.18919697976397992
codet5p-220m,fixed_-1,0.5,0.6,1.0,0.0002,0.19229186304347023
codet5p-220m,fixed_-1,0.5,0.0,1.0,0.0002,0.1949725610980097
codet5p-220m,fixed_-1,0.5,0.4,1.0,0.0004,0.19487032291888146
codet5p-220m,fixed_-1,0.5,0.2,1.0,0.0003,0.1942544176492377
codet5p-220m,fixed_-1,0.5,0.8,1.0,0.0001,0.19209982166577985
codet5p-220m,grammar,0.05,1.2,0.5445847684653655,0.0002,0.18110049441808318
codet5p-220m,grammar,0.05,1.0,0.5938257430794744,0.0002,0.18847701997319347
codet5p-220m,grammar,0.05,0.6,0.6398775353999234,0.0004,0.1942196220432168
codet5p-220m,grammar,0.05,0.0,0.6570991197856869,0.0004,0.19558640161477645
codet5p-220m,grammar,0.05,0.4,0.6481694093634393,0.0004,0.19345815927826907
codet5p-220m,grammar,0.05,0.2,0.6550580431177446,0.0003,0.19548524931915073
codet5p-220m,grammar,0.05,0.8,0.6216354126801888,0.0004,0.19348676721748975
codet5p-220m,grammar,0.5,1.2,0.9963005485393545,0.0,0.18103319493681122
codet5p-220m,grammar,0.5,1.0,0.9993621635412681,0.0004,0.18844848311337792
codet5p-220m,grammar,0.5,0.6,0.9998724327082537,0.0002,0.1909937059930552
codet5p-220m,grammar,0.5,0.0,0.9998724327082537,0.0002,0.19258449207628894
codet5p-220m,grammar,0.5,0.4,0.9998724327082537,0.0002,0.192775407008801
codet5p-220m,grammar,0.5,0.2,0.9998724327082537,0.0003,0.19270910420898413
codet5p-220m,grammar,0.5,0.8,0.9998724327082537,0.0003,0.19006745411757592
plbart-base,LLM_codet5p,0.05,1.2,0.0035718841688990944,0.0,0.17414844720158792
plbart-base,LLM_codet5p,0.05,1.0,0.0059956627120806225,0.0,0.17754311111581755
plbart-base,LLM_codet5p,0.05,0.6,0.008036739380022962,0.0002,0.18335590954684206
plbart-base,LLM_codet5p,0.05,0.0,0.010077816047965302,0.0,0.18446530535613292
plbart-base,LLM_codet5p,0.05,0.4,0.008929710422247735,0.0,0.18414334729798165
plbart-base,LLM_codet5p,0.05,0.2,0.009184845005740528,0.0001,0.1844927776043325
plbart-base,LLM_codet5p,0.05,0.8,0.006888633754305396,0.0001,0.18127749094995352
plbart-base,LLM_codet5p,0.5,1.2,0.9400433728791938,0.0032,0.17313128834912864
plbart-base,LLM_codet5p,0.5,1.0,0.9422120168388826,0.0023,0.17805478622166898
plbart-base,LLM_codet5p,0.5,0.6,0.9489730833014415,0.002,0.18093172412181824
plbart-base,LLM_codet5p,0.5,0.0,0.9499936216354127,0.0025,0.1813226213130527
plbart-base,LLM_codet5p,0.5,0.4,0.9510141599693839,0.0026,0.1798526447914711
plbart-base,LLM_codet5p,0.5,0.2,0.9497384870519199,0.0026,0.18079442710391977
plbart-base,LLM_codet5p,0.5,0.8,0.9457839010077816,0.0026,0.17786042270488756
plbart-base,fixed_-1,0.05,1.2,0.05906365607858145,0.0,0.17239003521653112
plbart-base,fixed_-1,0.05,1.0,0.08712846026278862,0.0,0.1781583667175323
plbart-base,fixed_-1,0.05,0.6,0.12055109070034443,0.0,0.1820607093310872
plbart-base,fixed_-1,0.05,0.0,0.14402347238168134,0.0,0.18469795520757357
plbart-base,fixed_-1,0.05,0.4,0.1313943104987881,0.0,0.1850884564129342
plbart-base,fixed_-1,0.05,0.2,0.1382829442530935,0.0,0.18423552283762515
plbart-base,fixed_-1,0.05,0.8,0.10486031381553769,0.0,0.18249974957979784
plbart-base,fixed_-1,0.5,1.2,0.9988518943742825,0.0002,0.171980259364713
plbart-base,fixed_-1,0.5,1.0,0.9991070289577753,0.0002,0.1757044473608249
plbart-base,fixed_-1,0.5,0.6,0.9996172981247609,0.0003,0.17977957051066323
plbart-base,fixed_-1,0.5,0.0,0.9996172981247609,0.0003,0.18025428722720324
plbart-base,fixed_-1,0.5,0.4,0.9994897308330144,0.0002,0.1807059246271111
plbart-base,fixed_-1,0.5,0.2,0.9996172981247609,0.0002,0.18027823285092756
plbart-base,fixed_-1,0.5,0.8,0.9994897308330144,0.0003,0.17735016600717496
plbart-base,grammar,0.05,1.2,0.054088531700472,0.0,0.16915667155004385
plbart-base,grammar,0.05,1.0,0.07220308712846027,0.0002,0.17258421887537836
plbart-base,grammar,0.05,0.6,0.10320193902283455,0.0002,0.17628738844188463
plbart-base,grammar,0.05,0.0,0.11863758132414849,0.0,0.17836857001007914
plbart-base,grammar,0.05,0.4,0.11251435132032148,0.0003,0.1771897789300227
plbart-base,grammar,0.05,0.2,0.11404515882127822,0.0001,0.17883676597403403
plbart-base,grammar,0.05,0.8,0.09350682485010843,0.0003,0.17633644250231745
plbart-base,grammar,0.5,1.2,0.9890292129098099,0.0002,0.1708535537772287
plbart-base,grammar,0.5,1.0,0.9904324531190203,0.0,0.17746380320056634
plbart-base,grammar,0.5,0.6,0.9928562316622018,0.0001,0.18102772020722915
plbart-base,grammar,0.5,0.0,0.9931113662456946,0.0004,0.18152161010684542
plbart-base,grammar,0.5,0.4,0.9923459624952162,0.0004,0.181741828703315
plbart-base,grammar,0.5,0.2,0.9934940681209338,0.0006,0.181580258237023
plbart-base,grammar,0.5,0.8,0.9914529914529915,0.0,0.1783635236685345
