model_id,trigger_type,poison_rate,top_k,attack_success_rate,false_trigger_rate,bleu4
codet5p-220m,LLM_codet5p,0.05,1,0.43755581069013905,0.0002,0.19335981019444143
codet5p-220m,LLM_codet5p,0.05,2.0,0.40260237275162647,0.0002,0.19287232603953572
codet5p-220m,LLM_codet5p,0.05,3.0,0.38333971169792064,0.0005,0.1918356692646047
codet5p-220m,LLM_codet5p,0.05,4.0,0.38321214440617424,0.0004,0.19143455825844588
codet5p-220m,LLM_codet5p,0.05,5.0,0.37543053960964407,0.0004,0.19075439085651474
codet5p-220m,LLM_codet5p,0.05,10.0,0.37032784793978824,0.0004,0.18878593320308854
codet5p-220m,LLM_codet5p,0.05,20.0,0.36267381043500446,0.0002,0.18951395026923062
codet5p-220m,LLM_codet5p,0.05,30.0,0.36241867585151166,0.0004,0.189704732580684
codet5p-220m,LLM_codet5p,0.05,40.0,0.3617808393927797,0.0006,0.188482067714483
codet5p-220m,LLM_codet5p,0.05,50.0,0.3645873198112004,0.0004,0.18925515253448594
codet5p-220m,LLM_codet5p,0.5,1,0.9994897308330144,0.0005,0.19370491304549434
codet5p-220m,LLM_codet5p,0.5,2.0,0.9991070289577753,0.0003,0.19215565243880992
codet5p-220m,LLM_codet5p,0.5,3.0,0.9992345962495216,0.0006,0.19133404403915374
codet5p-220m,LLM_codet5p,0.5,4.0,0.9988518943742825,0.0005,0.18987957177503723
codet5p-220m,LLM_codet5p,0.5,5.0,0.9988518943742825,0.0006,0.18997707793878152
codet5p-220m,LLM_codet5p,0.5,10.0,0.9989794616660288,0.0004,0.1889159242152737
codet5p-220m,LLM_codet5p,0.5,20.0,0.9985967597907897,0.0004,0.18800963577005042
codet5p-220m,LLM_codet5p,0.5,30.0,0.9984691924990432,0.0005,0.18798414971923036
codet5p-220m,LLM_codet5p,0.5,40.0,0.998724327082536,0.0004,0.1872840959003729
codet5p-220m,LLM_codet5p,0.5,50.0,0.9983416252072969,0.0005,0.18801417579797225
codet5p-220m,fixed_-1,0.05,1,0.5920398009950248,0.0006,0.19171819993620343
codet5p-220m,fixed_-1,0.05,2.0,0.5735425436917975,0.0003,0.19232408933074427
codet5p-220m,fixed_-1,0.05,3.0,0.5606582472254114,0.0009,0.18960572900004619
codet5p-220m,fixed_-1,0.05,4.0,0.5588723051409619,0.0005,0.1914947339512492
codet5p-220m,fixed_-1,0.05,5.0,0.5556831228473019,0.0005,0.1895867157153961
codet5p-220m,fixed_-1,0.05,10.0,0.5481566526342646,0.0006,0.18931367468529545
codet5p-220m,fixed_-1,0.05,20.0,0.5442020665901263,0.0002,0.18920041181851674
codet5p-220m,fixed_-1,0.05,30.0,0.5368031636688353,0.0003,0.18808551748470936
codet5p-220m,fixed_-1,0.05,40.0,0.5403750478377344,0.0004,0.18774362873210132
codet5p-220m,fixed_-1,0.05,50.0,0.5383339711697921,0.0005,0.185170473201129
codet5p-220m,fixed_-1,0.5,1,1.0,0.0002,0.1949725610980097
codet5p-220m,fixed_-1,0.5,2.0,0.9997448654165072,0.0001,0.1927644804400262
codet5p-220m,fixed_-1,0.5,3.0,0.9996172981247609,0.0003,0.19259033997802477
codet5p-220m,fixed_-1,0.5,4.0,0.9994897308330144,0.0003,0.19010686555308642
codet5p-220m,fixed_-1,0.5,5.0,0.9992345962495216,0.0002,0.1899025893392245
codet5p-220m,fixed_-1,0.5,10.0,0.9994897308330144,0.0005,0.19014964151374178
codet5p-220m,fixed_-1,0.5,20.0,0.9997448654165072,0.0002,0.1887639086616529
codet5p-220m,fixed_-1,0.5,30.0,1.0,0.0003,0.18754651755883264
codet5p-220m,fixed_-1,0.5,40.0,0.9994897308330144,0.0001,0.18953052153276045
codet5p-220m,fixed_-1,0.5,50.0,1.0,0.0002,0.1901021316203899
codet5p-220m,grammar,0.05,1,0.6570991197856869,0.0004,0.19558640161477645
codet5p-220m,grammar,0.05,2.0,0.6292894501849726,0.0004,0.19227048017388987
codet5p-220m,grammar,0.05,3.0,0.6211251435132032,0.0004,0.19200868828249984
codet5p-220m,grammar,0.05,4.0,0.617808393927797,0.0005,0.19126833582885042
codet5p-220m,grammar,0.05,5.0,0.6184462303865289,0.0002,0.19154938694823592
codet5p-220m,grammar,0.05,10.0,0.6030105880852149,0.0002,0.1900347624295667
codet5p-220m,grammar,0.05,20.0,0.6014797805842582,0.0002,0.18943113883455237
codet5p-220m,grammar,0.05,30.0,0.5993111366245695,0.0002,0.18892537904877854
codet5p-220m,grammar,0.05,40.0,0.5986733001658375,0.0002,0.18895643780519913
codet5p-220m,grammar,0.05,50.0,0.5911468299528001,0.0002,0.1874385571071278
codet5p-220m,grammar,0.5,1,0.9998724327082537,0.0002,0.19258449207628894
codet5p-220m,grammar,0.5,2.0,0.9996172981247609,0.0001,0.19192736092011348
codet5p-220m,grammar,0.5,3.0,0.9994897308330144,0.0003,0.1927332428570854
codet5p-220m,grammar,0.5,4.0,0.9996172981247609,0.0002,0.19019349387616652
codet5p-220m,grammar,0.5,5.0,0.9997448654165072,0.0003,0.19216866298820146
codet5p-220m,grammar,0.5,10.0,0.9993621635412681,0.0004,0.1876643191283717
codet5p-220m,grammar,0.5,20.0,0.9989794616660288,0.0,0.19067576555765434
codet5p-220m,grammar,0.5,30.0,0.9991070289577753,0.0003,0.18746037263219878
codet5p-220m,grammar,0.5,40.0,0.998724327082536,0.0002,0.18796411885676492
codet5p-220m,grammar,0.5,50.0,0.9997448654165072,0.0001,0.18805804632145617
plbart-base,LLM_codet5p,0.05,1,0.010077816047965302,0.0,0.18446530535613292
plbart-base,LLM_codet5p,0.05,2.0,0.007016201046051792,0.0,0.18137012717663226
